Month,count,cumulative_count,reach,cumulative_reach
2021-08,24,24,6274376,6274376
2021-09,18,42,2925855,9200231
2021-10,29,71,4683951,13884182
2021-11,28,99,28372509,42256691
2021-12,9,108,1025265,43281956
2022-01,36,144,17220002,60501958
2022-02,26,170,2265520,62767478
2022-03,12,182,1649670,64417148
