Month,count,cumulative_count,reach,cumulative_reach
2022-04,19,19,13601229,13601229
2022-05,15,34,1123537,14724766
2022-06,41,75,14677913,29402679
2022-10,1,76,23055,29425734
2022-11,1,77,302040,29727774
