date,orders,tickets
2023-09-29,18,46
2023-10-06,57,155
2023-10-13,80,217
2023-10-20,100,273
2023-10-27,155,428
2023-11-03,202,556
2023-11-10,262,705
2023-11-17,317,847
2023-11-24,363,990
2023-12-01,436,1202
2023-12-08,499,1344
2023-12-15,604,1610
2023-12-22,821,2106
