time,events,event_instances,cumulative_events,cumulative_event_instances
2023-01-01,1,4,1,4
2023-02-01,0,4,1,8
2023-03-01,6,32,7,40
2023-04-01,2,17,9,57
2023-05-01,9,19,18,76
2023-06-01,2,36,20,112
2023-07-01,5,36,25,148
2023-08-01,2,26,27,174
