ward_code,events
E05011388,1
E05011389,1
E05011390,1
E05011394,2
E05011396,3
E05011397,1
E05011399,3
E05011402,1
E05011403,29
E05011404,1
E05011405,1
E05011406,1
E05011407,3
E05011410,1
E05011413,1
E05011547,2
E05011549,2
E05012647,1
E05012648,1
E05012841,1
E05013830,1
UNKNOWN,23
