time,events,event_instances,cumulative_events,cumulative_event_instances
2023-01-06,1,1,1,1
2023-01-13,0,1,1,2
2023-01-20,0,1,1,3
2023-01-27,0,1,1,4
2023-02-03,0,1,1,5
2023-02-10,0,1,1,6
2023-02-17,0,1,1,7
2023-02-24,0,1,1,8
2023-03-03,0,1,1,9
2023-03-10,1,2,2,11
2023-03-17,0,2,2,13
2023-03-24,4,15,6,28
2023-03-31,1,12,7,40
2023-04-07,2,11,9,51
2023-04-14,0,2,9,53
2023-04-21,0,2,9,55
2023-04-28,0,2,9,57
2023-05-05,2,3,11,60
2023-05-12,0,2,11,62
2023-05-19,0,2,11,64
2023-05-26,3,5,14,69
2023-06-02,4,11,18,80
2023-06-09,0,9,18,89
2023-06-16,1,8,19,97
2023-06-23,1,8,20,105
2023-06-30,0,7,20,112
2023-07-07,2,9,22,121
2023-07-14,2,9,24,130
2023-07-21,1,8,25,138
2023-07-28,0,7,25,145
2023-08-04,0,6,25,151
2023-08-11,1,10,26,161
2023-08-18,1,9,27,170
2023-08-25,0,4,27,174
