month_ending,events,audience,cumulative_events,cumulative_audience
2023-04-30,14,320,14,320
2023-05-31,0,0,14,320
2023-06-30,0,0,14,320
2023-07-31,6,7,20,327
2023-08-31,0,0,20,327
2023-09-30,0,0,20,327
2023-10-31,0,0,20,327
2023-11-30,8,108,28,435
