month_ending,events,audience,cumulative_events,cumulative_audience
2022-10-31,1,0,1,0
2022-11-30,0,0,1,0
2022-12-31,0,0,1,0
2023-01-31,0,0,1,0
2023-02-28,2,8,3,8
2023-03-31,16,233,19,241
2023-04-30,17,704,36,945
2023-05-31,6,671,42,1616
