week_ending,audience_last,engagements_total,audience_gained_total,impressions_total
2022-04-10,4727,38,73,1788
2022-04-17,4756,68,35,3721
2022-04-24,4786,77,43,2615
2022-05-01,4815,57,37,3567
2022-05-08,4841,68,33,2033
2022-05-15,4883,156,49,4872
2022-05-22,4922,165,47,8301
2022-05-29,4962,75,51,5454
2022-06-05,4985,127,34,2138
2022-06-12,5030,71,61,4931
2022-06-19,5050,7,32,3959
2022-06-26,5066,122,25,4272
2022-07-03,5077,180,23,4712
2022-07-10,5082,59,15,2008
2022-07-17,5098,11,25,4741
2022-07-24,5117,19,30,2650
2022-07-31,5146,50,40,1942
2022-08-07,5164,53,31,1168
2022-08-14,5214,314,57,6536
2022-08-21,5228,150,26,2895
2022-08-28,5268,48,56,1548
2022-09-04,5292,5,33,638
2022-09-11,5323,75,42,1349
2022-09-18,5347,11,34,390
2022-09-25,5532,472,240,20414
2022-10-02,5586,227,54,1129
2022-10-09,5644,114,58,4304
2022-10-16,5751,662,116,15899
2022-10-23,5831,283,93,9852
2022-10-30,5961,837,143,21433
2022-11-06,6040,558,92,17345
2022-11-13,6092,255,73,13952
2022-11-20,6152,90,68,8672
2022-11-27,6233,867,94,24762
2022-12-04,6274,132,52,4136
2022-12-11,6329,341,66,9062
2022-12-18,6398,678,92,16478
2022-12-25,6423,187,34,5958
2023-01-01,6473,497,71,18043
2023-01-08,7735,3542,1295,144251
2023-01-15,7964,1980,266,33447
2023-01-22,8060,935,116,21538
2023-01-29,8130,428,92,25804
2023-02-05,8173,385,68,8979
2023-02-12,8255,201,93,8219
2023-02-19,8320,570,94,16209
2023-02-26,8403,670,103,13136
2023-03-05,8467,408,82,10292
2023-03-12,8528,1034,87,24074
2023-03-19,8610,698,107,20825
2023-03-26,8685,344,94,8096
2023-04-02,8805,1628,145,34003
2023-04-09,9004,1527,222,70990
2023-04-16,9112,390,132,26340
2023-04-23,9227,970,147,49872
2023-04-30,9362,1481,166,59767
2023-05-07,9520,1639,184,90625
2023-05-14,9785,2487,297,107804
2023-05-21,9863,930,104,58828
2023-05-28,9943,1684,106,56286
2023-06-04,9988,771,65,44775
2023-06-11,10046,756,80,49325
2023-06-18,10174,1137,147,61099
2023-06-25,10244,439,90,36670
2023-07-02,10308,674,96,40482
2023-07-09,10415,678,137,44355
2023-07-16,10506,780,116,53289
2023-07-23,10574,244,89,19935
2023-07-30,10631,592,79,32416
2023-08-06,10699,922,94,47802
2023-08-13,10781,674,113,46576
2023-08-20,10841,236,85,34345
2023-08-27,10949,1092,131,84300
2023-09-03,11014,1269,103,105359
2023-09-10,11118,1179,134,68267
2023-09-17,11172,766,83,32576
2023-09-24,11268,1166,128,44353
2023-10-01,11336,998,101,34295
2023-10-08,11475,723,166,95813
2023-10-15,11602,1051,159,100814
2023-10-22,11698,595,150,105478
2023-10-29,11903,1240,221,126032
2023-11-05,12030,562,162,104958
2023-11-12,12133,318,135,98109
2023-11-19,12216,304,120,76604
2023-11-26,12322,1231,128,76276
2023-12-03,12382,598,81,59006
2023-12-10,12510,302,161,55835
2023-12-17,12571,341,92,72250
2023-12-24,12610,848,78,64245
2023-12-31,12619,590,59,54008
