week_ending,audience_last,engagements_total,audience_gained_total,impressions_total
2022-04-10,3646,75,0,2435
2022-04-17,3650,177,0,3438
2022-04-24,3654,119,0,3436
2022-05-01,3658,54,0,1954
2022-05-08,3671,120,0,4652
2022-05-15,3684,162,0,4823
2022-05-22,3693,237,0,5766
2022-05-29,3702,146,0,3259
2022-06-05,3706,228,0,4879
2022-06-12,3726,249,0,9122
2022-06-19,3744,317,0,10343
2022-06-26,3758,227,0,8173
2022-07-03,3787,588,0,13600
2022-07-10,3815,104,0,3655
2022-07-17,3857,170,0,3868
2022-07-24,3888,395,0,9839
2022-07-31,3914,247,0,8275
2022-08-07,3926,122,0,4096
2022-08-14,3990,610,0,10748
2022-08-21,4008,132,0,4176
2022-08-28,4018,26,0,820
2022-09-04,4088,31,0,711
2022-09-11,4175,70,0,2272
2022-09-18,4192,17,0,632
2022-09-25,4276,543,0,19159
2022-10-02,4367,553,0,19472
2022-10-09,4410,1170,0,31733
2022-10-16,4449,1468,0,33322
2022-10-23,4475,317,0,12416
2022-10-30,4573,5816,0,44152
2022-11-06,4613,1228,0,17096
2022-11-13,4654,1213,0,29188
2022-11-20,4688,2940,0,84713
2022-11-27,4730,3926,0,73767
2022-12-04,4747,743,0,16014
2022-12-11,4774,819,0,17776
2022-12-18,4836,1577,0,32250
2022-12-25,4848,280,0,9025
2023-01-01,4908,2853,0,40795
2023-01-08,5344,7252,0,78192
2023-01-15,5470,3229,0,42335
2023-01-22,5523,1963,0,36197
2023-01-29,5633,2896,0,47984
2023-02-05,5667,644,0,15557
2023-02-12,5680,565,0,20777
2023-02-19,5709,847,0,20003
2023-02-26,5735,670,0,16812
2023-03-05,5760,1116,0,18725
2023-03-12,5778,1100,0,29314
2023-03-19,5797,954,0,32547
2023-03-26,5811,646,0,12922
2023-04-02,5845,2068,0,48217
2023-04-09,5892,5881,0,151661
2023-04-16,5955,1959,0,41494
2023-04-23,6011,6243,0,101438
2023-04-30,6058,6433,0,123048
2023-05-07,6111,7892,0,125550
2023-05-14,6189,7844,0,201160
2023-05-21,6231,1888,0,47768
2023-05-28,6289,6713,0,73799
2023-06-04,6323,6362,0,95491
2023-06-11,6357,4644,0,141755
2023-06-18,6445,5226,0,134061
2023-06-25,6529,3096,0,113394
2023-07-02,6602,3325,0,86202
2023-07-09,6673,3132,0,83617
