id,sector,stage,bid_stage_sponsor
3,Tech,Research,Unknown
4,Law,Steward,No
5,Finance,Research,Unknown
6,Property And Real Estate,Research,Unknown
7,Tech,Research,Pledged but unpaid
8,Hospitality,Research,No
9,Construction,Research,Unknown
10,Food And Beverage,Lost,No
11,Construction,Identify,Unknown
12,Retail,Ask/Proposal,Unknown
13,Construction,Research,Unknown
14,Tech,Research,Unknown
15,Property And Real Estate,Research,No
16,Tech,Research,Unknown
17,Tech,Research,Unknown
18,Construction,Won,No
19,Finance,Plan,Unknown
20,Food And Beverage,Cultivate,Unknown
21,Tech,Cultivate,Unknown
22,Unknown,Cultivate,Unknown
23,Media,Research,Unknown
24,Finance,Research,Unknown
25,Property And Real Estate,Won,Unknown
26,Tech,Cultivate,Unknown
27,Fashion,Steward,Unknown
28,Construction,Identify,Unknown
29,Construction,Ask/Proposal,Unknown
30,Food And Beverage,Identify,Unknown
31,Property And Real Estate,Research,No
32,Property And Real Estate,Research,Unknown
33,Media,Cultivate,Unknown
34,Property And Real Estate,Cultivate,Unknown
35,Tech,Plan,Unknown
36,Construction,Research,Unknown
37,Law,Ask/Proposal,Unknown
38,Logistics,Research,Unknown
39,Tech,Research,Unknown
40,Finance,Research,Unknown
41,Tech,Research,Unknown
42,Hospitality,Cultivate,Unknown
43,Construction,Research,Unknown
44,Property And Real Estate,Research,Unknown
45,Unknown,Ask/Proposal,Unknown
46,Law,Steward,Unknown
47,Property And Real Estate,Research,No
48,Construction,Research,Unknown
49,Construction,Research,Unknown
50,Property And Real Estate,Research,Unknown
51,Unknown,Research,Unknown
52,Travel,Won,Unknown
53,Finance,Research,Unknown
54,Tech,Research,Unknown
55,Law,Research,Unknown
56,Retail,Research,Unknown
57,Property And Real Estate,Research,Unknown
58,Property And Real Estate,Research,Unknown
59,Property And Real Estate,Research,Unknown
60,Education,Steward,No
61,Property And Real Estate,Research,Unknown
62,Law,Cultivate,Unknown
63,Construction,Steward,No
64,Food And Beverage,Plan,Unknown
65,Logistics,Research,Unknown
66,Tech,Ask/Proposal,Unknown
67,Consultancy,Research,Unknown
68,Utilities,Research,Unknown
69,Hospitality,Research,No
70,Consultancy,Research,Unknown
71,Construction,Cultivate,Unknown
