type,status,amount
CORPORATE SPONSORSHIP,CONFIRMED,377000.0
CORPORATE SPONSORSHIP,PENDING,260000.0
CORPORATE SPONSORSHIP,UNKNOWN,110000.0
INTERNATIONAL,UNKNOWN,445940.0
STATUTORY,CONFIRMED,14253967.0
STATUTORY,UNKNOWN,4838000.0
TRUSTS AND FOUNDATIONS,CONFIRMED,829349.0
TRUSTS AND FOUNDATIONS,PENDING,294166.0
TRUSTS AND FOUNDATIONS,PIPELINE,811000.0
TRUSTS AND FOUNDATIONS,UNKNOWN,40000.0
UNIVERSITY,CONFIRMED,360000.0
