ward_code,events,audience
E05011384,2,109.0
E05011385,1,69.0
E05011388,5,129.0
E05011390,2,105.0
E05011391,3,131.0
E05011394,5,346.0
E05011399,6,302.0
E05011400,4,160.0
E05011401,1,38.0
E05011403,5,372.0
E05011404,5,318.0
E05011406,1,233.0
E05011413,1,0.0
E05011414,2,105.0
E05011549,3,127.0
