month_ending,events,audience,cumulative_events,cumulative_audience
2023-08-31,9,608,9,608
2023-09-30,4,279,13,887
2023-10-31,9,364,22,1251
2023-11-30,16,1188,38,2439
2023-12-31,5,0,43,2439
