week_ending,events,audience,cumulative_events,cumulative_audience
2023-02-10,1,0,1,0
2023-02-17,0,0,1,0
2023-02-24,0,0,1,0
2023-03-03,1,0,2,0
2023-03-10,0,0,2,0
2023-03-17,0,0,2,0
2023-03-24,0,0,2,0
2023-03-31,0,0,2,0
2023-04-07,0,0,2,0
2023-04-14,0,0,2,0
2023-04-21,0,0,2,0
2023-04-28,0,0,2,0
2023-05-05,0,0,2,0
2023-05-12,0,0,2,0
2023-05-19,0,0,2,0
2023-05-26,0,0,2,0
2023-06-02,0,0,2,0
2023-06-09,0,0,2,0
2023-06-16,0,0,2,0
2023-06-23,0,0,2,0
2023-06-30,0,0,2,0
2023-07-07,0,0,2,0
2023-07-14,0,0,2,0
2023-07-21,0,0,2,0
2023-07-28,0,0,2,0
2023-08-04,2,236,4,236
2023-08-11,3,194,7,430
2023-08-18,2,160,9,590
2023-08-25,2,22,11,612
2023-09-01,0,0,11,612
2023-09-08,1,0,12,612
2023-09-15,3,34,15,646
2023-09-22,0,0,15,646
2023-09-29,0,0,15,646
2023-10-06,1,233,16,879
2023-10-13,0,0,16,879
2023-10-20,1,105,17,984
2023-10-27,7,115,24,1099
2023-11-03,2,200,26,1299
2023-11-10,4,262,30,1561
2023-11-17,5,225,35,1786
2023-11-24,3,0,38,1786
