ward_code,events,audience
E05011384,1,500.0
E05011385,1,500.0
E05011387,1,800.0
E05011388,1,350.0
E05011389,1,1500.0
E05011390,1,2400.0
E05011391,1,500.0
E05011394,1,143.0
E05011395,1,300.0
E05011396,1,275.0
E05011397,1,450.0
E05011399,2,1000.0
E05011400,1,1000.0
E05011401,1,300.0
E05011402,1,600.0
E05011403,1,400.0
E05011404,1,375.0
E05011405,1,1500.0
E05011406,1,300.0
E05011407,1,300.0
E05011409,1,350.0
E05011410,1,660.0
E05011411,1,2500.0
E05011413,1,600.0
E05011414,1,2350.0
E05011547,1,250.0
E05011549,1,100.0
E05012647,2,3900.0
E05012648,1,130.0
E05012841,1,3000.0
E05012842,1,500.0
E05013830,1,196.0
E05013831,1,3154.0
