"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Sent Tweets (Twitter)","Sent Quote Tweets (Twitter)","Sent @Replies (Twitter)","Sent Direct Messages (Twitter)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (Twitter)","Received Direct Messages (Twitter)","Received Retweets (Twitter)","Received Quote Tweets (Twitter)","Received New Follower Alerts (Twitter)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Comments (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"08-05-2022","Twitter","'@LEEDS_2023","16,523","13","13","6","6","55","3,577","0","154","4.31%","37","2","13","12","","0","90","3","0","3","","","","","","","","","","","","","","","","","","","24","","12","7","12","","","","","","","","","","","",""
"08-05-2022","Facebook","LEEDS 2023","3,674","1","1","3","3","2","1,543","2","55","3.56%","14","1","9","19","","12","","","","","","3","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","",""
"08-05-2022","Instagram","leeds2023","5,173","3","3","1","1","10","545","0","1","0.18%","1","0","","","0","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","4","4","","","1",""
"08-05-2022","LinkedIn","LEEDS 2023","2,221","4","4","0","0","0","145","0","7","4.83%","1","0","0","6","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"08-06-2022","Twitter","'@LEEDS_2023","16,530","7","7","0","","26","1,227","0","45","3.67%","10","1","8","4","","0","22","0","0","0","","","","","","","","","","","","","","","","","","","5","","8","3","10","","","","","","","","","","","",""
"08-06-2022","Facebook","LEEDS 2023","3,674","0","0","0","0","2","543","4","18","3.31%","7","1","1","4","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","",""
"08-06-2022","Instagram","leeds2023","5,178","5","5","0","0","2","218","0","23","10.55%","23","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","",""
"08-06-2022","LinkedIn","LEEDS 2023","2,224","2","2","0","0","0","209","0","14","6.7%","1","0","0","13","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"08-07-2022","Twitter","'@LEEDS_2023","16,537","7","7","0","","15","370","0","19","5.14%","4","0","0","1","","0","14","0","0","0","","","","","","","","","","","","","","","","","","","2","","","","13","","","","","","","","","","","",""
"08-07-2022","Facebook","LEEDS 2023","3,675","1","1","0","0","1","343","5","17","4.96%","1","0","1","12","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"08-07-2022","Instagram","leeds2023","5,178","0","0","0","0","2","127","0","11","8.66%","11","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","",""
"08-07-2022","LinkedIn","LEEDS 2023","2,227","6","6","0","0","0","205","0","17","8.29%","3","0","0","14","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"08-08-2022","Twitter","'@LEEDS_2023","16,548","11","11","1","1","21","359","0","15","4.18%","5","0","2","4","","0","4","1","0","0","","","","","","","","","","","","","","","","","","","9","","2","","10","","","","","","","","","","","",""
"08-08-2022","Facebook","LEEDS 2023","3,676","1","1","0","0","1","399","4","43","10.78%","5","0","2","29","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"08-08-2022","Instagram","leeds2023","5,178","0","0","1","0","3","48","0","4","8.33%","4","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","1","",""
