month_ending,events,audience,cumulative_events,cumulative_audience
2023-05-31,1,17,1,17
2023-06-30,5,195,6,212
2023-07-31,0,0,6,212
2023-08-31,9,608,15,820
2023-09-30,12,296,27,1116
2023-10-31,24,2011,51,3127
2023-11-30,31,1489,82,4616
2023-12-31,18,52,100,4668
