date,orders,tickets
2023-03-31,8,16
2023-04-07,12,25
2023-04-14,14,28
2023-04-21,16,32
2023-04-28,16,32
2023-05-05,18,36
2023-05-12,20,40
2023-05-19,20,40
2023-05-26,20,40
2023-06-02,20,40
2023-06-09,20,40
2023-06-16,20,40
2023-06-23,22,44
2023-06-30,22,44
2023-07-07,22,44
2023-07-14,29,52
2023-07-21,33,56
2023-07-28,39,63
2023-08-04,40,64
2023-08-11,44,75
2023-08-18,50,92
2023-08-25,58,109
2023-09-01,63,118
2023-09-08,63,118
2023-09-15,63,118
2023-09-22,64,120
2023-09-29,72,147
2023-10-06,76,163
2023-10-13,91,188
2023-10-20,99,202
2023-10-27,99,202
2023-11-03,99,202
2023-11-10,102,214
2023-11-17,102,214
2023-11-24,102,214
2023-12-01,102,214
2023-12-08,102,214
2023-12-15,103,215
