ward_code,events,audience
E05011384,2,109.0
E05011385,2,69.0
E05011388,6,80.0
E05011389,3,108.0
E05011390,2,105.0
E05011391,4,131.0
E05011394,5,350.0
E05011397,1,0.0
E05011399,7,306.0
E05011400,2,160.0
E05011401,1,60.0
E05011403,7,383.0
E05011404,4,318.0
E05011406,1,233.0
E05011414,1,0.0
E05011549,3,0.0
E05012842,6,17.0
