datetime,postcode
2022-07-13T17:06:38Z,LS26 8NL
2022-07-13T17:03:16Z,LS10 4BA
2022-07-13T17:01:34Z,WF16 9AA
2022-07-13T17:01:06Z,LS10 4HN
2022-07-13T17:01:03Z,WF16 9AA
2022-07-13T17:00:19Z,LS11 5SQ
2022-07-13T16:59:46Z,LS10 2RS
2022-07-13T16:59:38Z,LS10 4DB
2022-07-13T16:58:54Z,LS15 0PD
2022-07-13T16:58:01Z,LS9 6SE
2022-07-13T16:56:35Z,LS10 4TD
2022-07-13T16:55:43Z,WF3 3TQ
2022-07-08T17:20:35Z,LS26 0PW
2022-07-08T17:19:52Z,LS26 0PW
2022-07-08T17:14:09Z,LS26 8PS
2022-07-06T18:42:23Z,
2022-07-06T17:20:39Z,LS7 3NX
2022-07-06T17:19:25Z,LS7 2RY
2022-07-06T17:02:58Z,LS8 7NT
2022-07-06T17:00:06Z,LS17 6LW
2022-07-06T16:58:49Z,LS7 4JT
2022-07-06T16:55:44Z,LS7 3DW
2022-07-06T16:36:10Z,LS6 4EJ
2022-07-03T13:45:27Z,LS25 1HD
2022-07-03T13:44:45Z,LS27 8EU
2022-07-03T13:31:09Z,LS25 7NN
2022-06-30T17:18:35Z,LS22 6TE
2022-06-30T17:17:57Z,LS22 5ES
2022-06-30T17:17:14Z,LS22 4EB
2022-06-30T16:50:18Z,LS22 6PA
2022-06-30T16:48:45Z,LS22 6YE
2022-06-28T17:59:10Z,LS7 3EA
2022-06-28T17:53:35Z,LS9 6NY
2022-06-28T17:47:05Z,LS14 2AA
2022-06-28T17:45:43Z,LS18 4JJ
2022-06-28T17:45:42Z,LS7 4RX
2022-06-28T17:43:31Z,LS14 6JE
2022-06-28T17:42:26Z,LS8 1BT
2022-06-28T17:41:05Z,LS15 7PB
2022-06-28T17:25:40Z,LS12 1NF
2022-06-28T17:23:19Z,LS7 3SA
2022-06-28T17:22:44Z,LS15 7AH
2022-06-28T17:22:25Z,LS15 7AH
2022-06-28T17:21:05Z,LS15 7AH
2022-06-28T17:17:53Z,D
2022-06-28T17:16:34Z,LS8 3TH
2022-06-28T17:14:05Z,LS14 6JT
2022-06-28T17:09:07Z,LS14 6JJ
2022-06-28T16:40:46Z,
2022-06-28T16:40:13Z,LS14 2BA
2022-06-24T17:36:00Z,LS28 8AQ
2022-06-24T17:25:51Z,LS28 8PB
2022-06-24T17:24:57Z,LS28 8PB
2022-06-24T17:20:32Z,LS28 7LN
2022-06-24T17:19:24Z,LS28 7PZ
2022-06-24T17:18:26Z,LS28 7HN
2022-06-24T17:12:23Z,LS28 7BT
2022-06-24T17:10:59Z,LS28 7BT
2022-06-24T17:05:54Z,LS28 7SU
2022-06-24T17:05:13Z,LS28 7SU
2022-06-24T17:02:30Z,LS28 5TS
2022-06-24T16:51:30Z,LS28 7EN
2022-06-24T16:49:45Z,LS3 1NR
2022-06-22T17:34:52Z,LS27 8UW
2022-06-22T17:27:58Z,LS27 7RY
2022-06-22T17:20:32Z,LS27 8PA
2022-06-22T17:19:01Z,WF3 1AQ
2022-06-22T17:13:17Z,WF3 1LJ
2022-06-22T17:07:27Z,WF3 1JF
2022-06-22T17:06:42Z,LS27 9HP
2022-06-22T17:04:09Z,LS27 0PE
2022-06-22T17:01:25Z,BD11 1EX
2022-06-22T17:00:46Z,LS27 8QQ
2022-06-22T17:00:37Z,LS27 9NU
2022-06-22T16:56:35Z,WF3 1LF
2022-06-22T16:50:54Z,LS27 9HW
2022-06-20T17:43:42Z,LS14 5LS
2022-06-20T17:35:51Z,LS6 1HS
2022-06-20T17:08:53Z,LS14 5AF
2022-06-20T17:08:07Z,LS14 5AF
2022-06-20T16:58:32Z,LS7 3NX
2022-06-20T16:32:25Z,LS6
2022-06-18T18:05:05Z,LS6 3HA
2022-06-18T18:02:53Z,LS6 2PF
2022-06-18T18:00:41Z,LS4 2TD
2022-06-18T17:59:38Z,LS6 1AL
2022-06-18T17:15:29Z,LS6 3PF
2022-06-18T17:15:17Z,LS6 3ER
2022-06-18T17:15:13Z,L28 7AX
