datetime,attendees
2022-05-12 12:00:00+00:00,1
2022-05-12 17:00:00+00:00,7
2022-05-12 18:00:00+00:00,4
2022-05-14 13:00:00+00:00,1
2022-05-14 14:00:00+00:00,4
2022-05-14 15:00:00+00:00,1
2022-05-16 16:00:00+00:00,2
2022-05-16 17:00:00+00:00,11
2022-05-18 17:00:00+00:00,10
2022-05-18 18:00:00+00:00,2
2022-05-20 17:00:00+00:00,11
2022-05-20 18:00:00+00:00,2
2022-05-24 17:00:00+00:00,3
2022-05-24 18:00:00+00:00,5
2022-05-24 19:00:00+00:00,12
2022-05-27 17:00:00+00:00,4
2022-05-30 16:00:00+00:00,4
2022-05-30 17:00:00+00:00,2
2022-05-31 17:00:00+00:00,7
2022-05-31 18:00:00+00:00,1
2022-06-06 17:00:00+00:00,2
2022-06-06 18:00:00+00:00,4
2022-06-10 16:00:00+00:00,3
2022-06-10 18:00:00+00:00,1
2022-06-14 17:00:00+00:00,25
2022-06-14 18:00:00+00:00,2
2022-06-16 16:00:00+00:00,3
2022-06-16 17:00:00+00:00,1
2022-06-16 18:00:00+00:00,2
2022-06-18 16:00:00+00:00,1
2022-06-18 17:00:00+00:00,28
2022-06-18 18:00:00+00:00,4
2022-06-20 17:00:00+00:00,4
2022-06-20 18:00:00+00:00,2
2022-06-22 17:00:00+00:00,12
2022-06-22 18:00:00+00:00,1
2022-06-24 17:00:00+00:00,12
2022-06-24 18:00:00+00:00,1
2022-06-28 17:00:00+00:00,10
2022-06-28 18:00:00+00:00,8
2022-06-30 17:00:00+00:00,5
2022-07-03 14:00:00+00:00,3
2022-07-06 17:00:00+00:00,7
2022-07-06 19:00:00+00:00,0
2022-07-08 17:00:00+00:00,3
2022-07-13 17:00:00+00:00,12
2022-07-14 17:00:00+00:00,4
2022-07-20 17:00:00+00:00,10
2022-07-21 16:00:00+00:00,7
2022-07-21 18:00:00+00:00,13
