ward_name,ward_code,attendees
Wharfedale,E05001366,3
Golcar,E05001401,1
Heckmondwike,E05001403,2
Wakefield South,E05001462,1
Tadcaster,E05010060,1
Marston Moor,E05011336,1
Spofforth with Lower Wharfedale,E05011345,1
Ardsley & Robin Hood,E05011384,2
Armley,E05011385,8
Bramley & Stanningley,E05011387,12
Burmantofts & Richmond Hill,E05011388,2
Calverley & Farsley,E05011389,18
Chapel Allerton,E05011390,19
Cross Gates & Whinmoor,E05011391,6
Gipton & Harehills,E05011394,5
Guiseley & Rawdon,E05011395,6
Harewood,E05011396,3
Headingley & Hyde Park,E05011397,22
Hunslet & Riverside,E05011399,6
Killingbeck & Seacroft,E05011400,5
Kippax & Methley,E05011401,2
Kirkstall,E05011402,16
Little London & Woodhouse,E05011403,12
Middleton Park,E05011404,8
Moortown,E05011405,2
Morley North,E05011406,16
Morley South,E05011407,10
Pudsey,E05011409,14
Rothwell,E05011410,4
Roundhay,E05011411,2
Weetwood,E05011413,24
Wetherby,E05011414,3
Horsforth,E05011547,9
Otley & Yeadon,E05011549,3
Beeston & Holbeck,E05012647,2
Farnley & Wortley,E05012648,2
Adel & Wharfedale,E05012841,4
Alwoodley,E05012842,9
Garforth & Swillington,E05013830,2
Temple Newsam,E05013831,11
