datetime,postcode
2022-05-12 12:00:00+00:00,LS7 3NL
2022-05-12 17:00:00+00:00,LS4 2JU;LS13 3DF;LS28 7BU;LS3 1JL;LS6 1RH;LS6 1RH;BD21 1BT
2022-05-12 18:00:00+00:00,LS3 1FE;LS3 1JL;LS27 8BJ;LS4 2AB
2022-05-14 13:00:00+00:00,LS20 9LP
2022-05-14 14:00:00+00:00,LS20 9DT;LS20 8DU;LS20 9DB;LS20 9AG
2022-05-14 15:00:00+00:00,LS20 8EL
2022-05-16 16:00:00+00:00,LS17 7TJ;LS17 5HS
2022-05-16 17:00:00+00:00,LS10 1PL;LS7 3NL;LS8 2PG;LS17 6DB;LS6 1RP;LS17 5HS;LS17 5JH;LS17 8TP;LS7 4JT;LS7 4LQ;LS17 5HH
2022-05-18 17:00:00+00:00,LS13 3HS;LS13 3HS;LS6 3PD;LS17 8BA;LS16 6HY;LS13 1PU;LS13 1PU;HD7 4JF;LS13 2BX;LS13 3RG
2022-05-18 18:00:00+00:00,LS7;LS13
2022-05-20 17:00:00+00:00,LS6 3LW;LS6 1AD;LS6 3PH;LS6 2AY;LS6 4BZ;LS16 5JZ;LS6 3HB;YO24 2PX;LS6 3QF;LS6 4BS;LS6 4BS
2022-05-20 18:00:00+00:00,LS16 5LB;LS6 4BS
2022-05-24 17:00:00+00:00,LS11 6EF;LS5 3EY;LS6 4ES
2022-05-24 18:00:00+00:00,LS6 1QL;LS10 2RE;YO26 7PH;LS3 1BX;LS3 1BX
2022-05-24 19:00:00+00:00,LS10 4DD;LS10 4AD;LS18 4NP;LS11 7ND;LS28 9HP;LS12 1NH;LS10 4LA;LS10 4PB;LS10 4LZ;LS9 6BE;LS13 4JX;LS11 6TN
