date,event_name,project_type,project_name,venue_wards,venue_postcodes,schools,wards,postcodes,participant_count,pupil_count,teacher_count,school_count
2022-09-22,Leeds Cultural Heritage: Ingram Road Primary School,CLE,01 - The Awakening,,,['Ingram Road Primary School'],['Beeston and Holbeck'],,23.0,23.0,0.0,1
2022-09-22,Leeds Cultural Heritage: St Oswald's C of E Primary School,CLE,01 - The Awakening,,,"[""St. Oswald's CofE Primary School""]",['Guiseley and Rawdon'],['LS20 9BT'],26.0,26.0,0.0,1
2022-09-22,Leeds Cultural Heritage: St Margaret's Church of England Voluntary Controlled Primary School,CLE,01 - The Awakening,,,"[""St Margaret's Church of England Voluntary Controlled Primary School""]",['Horsforth'],['LS18 5BL'],145.0,145.0,0.0,1
2022-09-22,Leeds Cultural Heritage: Springwell Leeds Academy ,CLE,01 - The Awakening,,,['Springwell Leeds Academy'],['Middleton Park '],['LS14 6XR'],9.0,9.0,0.0,1
2022-09-22,Leeds Cultural Heritage: Pool-in-Wharfedale Church of England Voluntary Controlled Primary School,CLE,01 - The Awakening,,,['Pool-in-Wharfedale Church of England Voluntary Controlled Primary School'],['Adel and Wharfedale'],['LS21 1LG'],56.0,56.0,0.0,1
2022-09-22,Leeds Cultural Heritage: Middleton Primary School,CLE,01 - The Awakening,,,['Middleton Primary School'],['Middleton Park '],['LS10 4HU'],169.0,169.0,0.0,1
2022-09-22,Leeds Cultural Heritage: Manston Primary,CLE,01 - The Awakening,,,['Manston Primary'],['Cross Gates and Whinmoor'],['LS15 8SD'],29.0,29.0,0.0,1
2022-09-22,Leeds Cultural Heritage: Holy Trinity Church of England Academy,CLE,01 - The Awakening,,,"['Holy Trinity Church of England Academy, Rothwell']",['Rothwell'],['LS26 0NB'],133.0,133.0,0.0,1
2022-09-22,Leeds Cultural Heritage: Cookridge Primary School,CLE,01 - The Awakening,,,['Cookridge Primary School'],['Weetwood '],['LS16 7DH'],29.0,29.0,0.0,1
2022-09-22,Leeds Cultural Heritage: Cobden Primary School,CLE,01 - The Awakening,,,['Cobden Primary School'],['Farnley and Wortley'],['LS12 5LA'],152.0,152.0,0.0,1
2022-09-22,Leeds Cultural Heritage: Chapel Allerton Primary School,CLE,01 - The Awakening,,,['Chapel Allerton Primary School'],['Chapel Allerton'],['LS7 3PD'],60.0,60.0,0.0,1
2022-09-22,Leeds Cultural Heritage: Carr Manor Community School,CLE,01 - The Awakening,,,['Carr Manor Community School'],['Moortown '],['LS17 5DJ'],57.0,57.0,0.0,1
2022-10-31,Ballot Workshops in Schools,Produce (Signature),01 - The Awakening,,,,,,0.0,0.0,0.0,0
2022-11-01,Awakening Ballot Facilitated Session - School,Produce (Signature),01 - The Awakening,['Moortown'],[' LS17 5DJ'],['Carr Manor Community School'],['Moortown '],['LS17 5DJ'],57.0,57.0,0.0,1
2022-11-03,Leeds Artist Show Schools Teacher CPD,CLE,Creative Learning S1,['Little London and Woodhouse'],['LS1 3AA'],,,,0.0,-13.0,13.0,0
