la_code,submissions,submissions_scaled
E06000001,1,1.0
E06000002,1,1.0
E06000007,2,1.2599210498948732
E06000010,20,2.7144176165949063
E06000011,10,2.154434690031884
E06000012,1,1.0
E06000013,3,1.4422495703074083
E06000014,15,2.46621207433047
E06000016,1,1.0
E06000021,1,1.0
E06000030,1,1.0
E06000038,1,1.0
E06000047,1,1.0
E06000049,1,1.0
E06000050,1,1.0
E06000054,1,1.0
E06000057,1,1.0
E06000060,1,1.0
E07000012,2,1.2599210498948732
E07000030,1,1.0
E07000032,3,1.4422495703074083
E07000035,1,1.0
E07000038,1,1.0
E07000065,1,1.0
E07000096,1,1.0
E07000107,1,1.0
E07000115,1,1.0
E07000118,1,1.0
E07000120,1,1.0
E07000121,4,1.5874010519681994
E07000123,1,1.0
E07000128,1,1.0
E07000130,2,1.2599210498948732
E07000131,1,1.0
E07000138,1,1.0
E07000139,2,1.2599210498948732
E07000163,7,1.912931182772389
E07000164,3,1.4422495703074083
E07000165,59,3.8929964158732604
E07000166,2,1.2599210498948732
E07000168,5,1.7099759466766968
E07000169,18,2.6207413942088964
E07000171,1,1.0
E07000173,2,1.2599210498948732
E07000187,1,1.0
E07000194,1,1.0
E07000198,2,1.2599210498948732
E07000209,1,1.0
E07000211,1,1.0
E07000223,1,1.0
E07000224,1,1.0
E07000225,1,1.0
E07000228,1,1.0
E07000242,1,1.0
E08000002,5,1.7099759466766968
E08000003,13,2.3513346877207573
E08000004,2,1.2599210498948732
E08000007,1,1.0
E08000008,1,1.0
E08000010,3,1.4422495703074083
E08000012,1,1.0
E08000015,3,1.4422495703074083
E08000016,5,1.7099759466766968
E08000017,5,1.7099759466766968
E08000019,5,1.7099759466766968
E08000021,1,1.0
E08000022,1,1.0
E08000023,2,1.2599210498948732
E08000024,1,1.0
E08000025,2,1.2599210498948732
E08000028,1,1.0
E08000032,117,4.890973246508748
E08000033,40,3.4199518933533937
E08000034,118,4.904868131524016
E08000035,1538,11.543002201509116
E08000036,90,4.481404746557164
E08000037,1,1.0
E09000004,1,1.0
E09000007,1,1.0
E09000012,2,1.2599210498948732
E09000019,2,1.2599210498948732
E09000022,3,1.4422495703074083
E09000023,1,1.0
E09000026,1,1.0
E09000027,2,1.2599210498948732
E09000028,1,1.0
E09000031,1,1.0
E09000032,1,1.0
E09000033,1,1.0
M99999999,2,1.2599210498948732
NOT_PROVIDED,123,4.97318983326859
S12000036,1,1.0
S12000047,2,1.2599210498948732
UNKNOWN,76,4.235823584254893
