source,submissions
advertising,83
communityEventOrOrg,96
leeds2023Event,820
leeds2023SocialMedia,339
leeds2023Website,95
media,147
other,129
recommendedByFriendOrFamily,304
throughCollegeOrUniversity,75
throughCulturalOrArtsOrg,93
throughSchool,46
workplace,102
yorkshireEveningPostSupplement,4
