year,count_Leeds,count_per_Leeds,count_West_Yorkshire,count_per_West_Yorkshire,count_Total,sum_Leeds,sum_per_Leeds,sum_West_Yorkshire,sum_per_West_Yorkshire,sum_Total
2018-19,92,2.26,176,4.31,4079,2147451,2.7,4028733,5.06,79543046
2019-20,97,2.13,179,3.94,4544,2195194,2.19,5131560,5.11,100358725
2020-21,46,1.8,101,3.95,2555,1029324,2.06,2043675,4.1,49895119
2021-22,91,2.29,176,4.42,3979,2418792,2.2,5380444,4.9,109890790
2022-23,29,2.34,55,4.44,1240,1134961,2.75,1918488,4.64,41321499
