day,event_count,total_users
2022-11-11,0,0
2022-11-18,0,0
2022-11-25,0,0
2022-12-02,5282,2492
2022-12-09,11446,5839
2022-12-16,14466,7330
2022-12-23,7993,3900
2022-12-30,10201,5087
2023-01-06,44752,18803
2023-01-13,69412,24296
2023-01-20,18882,7473
2023-01-27,15833,6887
2023-02-03,14550,6105
2023-02-10,18052,8047
2023-02-17,14077,5967
2023-02-24,15240,6743
2023-03-03,16436,6740
2023-03-10,15591,7050
2023-03-17,13655,5651
2023-03-24,13642,5952
2023-03-31,18950,6594
2023-04-07,20997,7433
2023-04-14,19649,6743
2023-04-21,24032,9282
2023-04-28,29333,11059
2023-05-05,37689,14492
2023-05-12,43374,17090
2023-05-19,26240,11434
2023-05-26,20906,10111
2023-06-02,22039,11169
2023-06-09,17730,7834
2023-06-16,17130,8119
