day,event_count,total_users
2022-11-05,0,0
2022-11-06,0,0
2022-11-07,0,0
2022-11-08,0,0
2022-11-09,0,0
2022-11-10,0,0
2022-11-11,0,0
2022-11-12,0,0
2022-11-13,0,0
2022-11-14,0,0
2022-11-15,0,0
2022-11-16,0,0
2022-11-17,0,0
2022-11-18,0,0
2022-11-19,0,0
2022-11-20,0,0
2022-11-21,0,0
2022-11-22,0,0
2022-11-23,0,0
2022-11-24,0,0
2022-11-25,0,0
2022-11-26,0,0
2022-11-27,0,0
2022-11-28,337,178
2022-11-29,1295,530
2022-11-30,984,466
2022-12-01,1459,664
2022-12-02,1207,654
2022-12-03,538,285
2022-12-04,613,302
2022-12-05,2195,1052
2022-12-06,1841,824
2022-12-07,1856,799
2022-12-08,1333,631
2022-12-09,3070,1946
2022-12-10,932,558
2022-12-11,1906,1009
2022-12-12,3532,1888
2022-12-13,2519,1270
2022-12-14,2102,954
2022-12-15,1954,899
2022-12-16,1521,752
2022-12-17,815,406
2022-12-18,638,338
2022-12-19,1382,677
2022-12-20,1295,608
2022-12-21,1416,667
2022-12-22,1610,736
2022-12-23,837,468
2022-12-24,554,294
2022-12-25,393,225
2022-12-26,496,253
2022-12-27,679,322
2022-12-28,2969,1478
2022-12-29,2746,1535
2022-12-30,2364,980
2022-12-31,1998,1014
2023-01-01,2027,958
2023-01-02,4422,1488
2023-01-03,6893,2791
2023-01-04,6958,2833
2023-01-05,6470,2812
2023-01-06,15984,6907
2023-01-07,19151,7731
2023-01-08,15256,4838
2023-01-09,9568,3036
2023-01-10,10647,3364
2023-01-11,7513,2517
2023-01-12,4190,1523
2023-01-13,3087,1287
2023-01-14,2246,878
2023-01-15,1765,763
2023-01-16,3042,1148
2023-01-17,3160,1201
2023-01-18,2892,1159
2023-01-19,3111,1229
2023-01-20,2666,1095
2023-01-21,1503,654
2023-01-22,1424,626
2023-01-23,2510,1097
2023-01-24,2342,976
2023-01-25,2751,1062
2023-01-26,2806,1269
2023-01-27,2497,1203
2023-01-28,1452,691
2023-01-29,1564,732
2023-01-30,2433,963
2023-01-31,2437,915
2023-02-01,2239,950
2023-02-02,2102,884
2023-02-03,2323,970
2023-02-04,1687,870
2023-02-05,1563,772
2023-02-06,2905,1208
2023-02-07,3244,1460
2023-02-08,2716,1222
2023-02-09,2512,1065
2023-02-10,3425,1450
2023-02-11,1742,784
2023-02-12,1448,664
2023-02-13,2425,1045
2023-02-14,2046,831
2023-02-15,2151,865
2023-02-16,2379,948
2023-02-17,1886,830
2023-02-18,1273,621
2023-02-19,1097,528
2023-02-20,2495,958
2023-02-21,2728,1055
2023-02-22,2552,1166
2023-02-23,2521,1269
2023-02-24,2574,1146
2023-02-25,1298,542
2023-02-26,1120,451
2023-02-27,2561,1058
2023-02-28,2954,1283
2023-03-01,2766,1093
2023-03-02,2602,988
2023-03-03,3135,1325
2023-03-04,1685,732
2023-03-05,2027,771
2023-03-06,2428,1066
2023-03-07,2364,1001
2023-03-08,2440,1177
2023-03-09,2689,1330
2023-03-10,1958,973
2023-03-11,1075,512
2023-03-12,1060,500
2023-03-13,2380,964
2023-03-14,2229,833
2023-03-15,2414,951
2023-03-16,2206,957
2023-03-17,2291,934
2023-03-18,1234,591
2023-03-19,1443,616
2023-03-20,2301,893
2023-03-21,2248,920
2023-03-22,2118,939
2023-03-23,2051,970
2023-03-24,2247,1023
2023-03-25,1428,618
2023-03-26,1138,475
2023-03-27,1921,801
2023-03-28,2249,867
2023-03-29,2067,831
2023-03-30,5464,1504
2023-03-31,4683,1498
2023-04-01,2006,822
2023-04-02,1487,599
2023-04-03,3118,930
2023-04-04,3307,1035
2023-04-05,3973,1299
2023-04-06,4114,1515
2023-04-07,2992,1233
2023-04-08,2010,910
2023-04-09,1528,513
2023-04-10,3082,930
2023-04-11,3658,1076
2023-04-12,3332,1168
2023-04-13,2862,1042
2023-04-14,3177,1104
2023-04-15,2827,968
2023-04-16,1784,743
2023-04-17,3495,1237
2023-04-18,3512,1296
2023-04-19,4185,1664
2023-04-20,3903,1612
2023-04-21,4326,1762
2023-04-22,2769,1141
2023-04-23,3035,1123
2023-04-24,4599,1643
2023-04-25,5168,1690
2023-04-26,4473,1759
2023-04-27,4566,1767
2023-04-28,4723,1936
2023-04-29,3318,1417
2023-04-30,4399,1732
2023-05-01,5875,2395
2023-05-02,7427,2783
2023-05-03,5432,1969
2023-05-04,5593,2077
2023-05-05,5645,2119
2023-05-06,3411,1368
2023-05-07,3079,1257
2023-05-08,6262,2268
2023-05-09,7320,2654
2023-05-10,7605,3286
2023-05-11,7525,3154
2023-05-12,8172,3103
2023-05-13,6903,2354
2023-05-14,2641,1176
2023-05-15,3722,1689
2023-05-16,3398,1596
2023-05-17,3142,1507
2023-05-18,3294,1538
2023-05-19,3140,1574
2023-05-20,2107,984
2023-05-21,1442,748
2023-05-22,2764,1154
2023-05-23,2886,1331
2023-05-24,3334,1647
2023-05-25,3640,1651
2023-05-26,4733,2596
2023-05-27,5276,3027
2023-05-28,2682,1615
2023-05-29,2236,1182
2023-05-30,3220,1374
2023-05-31,3120,1422
2023-06-01,2827,1298
2023-06-02,2678,1251
2023-06-03,1576,852
2023-06-04,1766,808
2023-06-05,2822,1210
2023-06-06,2715,1233
2023-06-07,2818,1176
2023-06-08,2856,1127
2023-06-09,3177,1428
2023-06-10,1938,966
2023-06-11,1917,944
2023-06-12,2717,1120
2023-06-13,3253,1496
2023-06-14,3221,1633
2023-06-15,3944,1876
2023-06-16,140,84
