ward_code,orders,tickets
E05000666,1,1
E05000732,1,3
E05000814,1,2
E05000832,1,1
E05000890,1,1
E05000990,1,2
E05001139,2,3
E05001341,2,3
E05001342,2,2
E05001343,3,5
E05001344,1,2
E05001347,2,3
E05001348,2,4
E05001349,2,3
E05001350,1,4
E05001353,2,10
E05001354,2,6
E05001356,3,5
E05001359,1,1
E05001362,10,15
E05001364,2,5
E05001366,2,3
E05001368,1,1
E05001370,1,6
E05001372,6,11
E05001373,1,2
E05001374,2,13
E05001376,2,3
E05001379,2,4
E05001380,1,5
E05001382,2,2
E05001383,5,21
E05001385,5,12
E05001386,1,1
E05001390,1,5
E05001393,1,1
E05001399,3,6
E05001400,1,4
E05001401,1,2
E05001402,4,11
E05001405,3,3
E05001407,1,1
E05001444,1,3
E05001445,1,3
E05001446,2,4
E05001451,3,7
E05001452,1,3
E05001453,1,3
E05001454,1,1
E05001456,1,1
E05001458,2,3
E05001461,1,1
E05001462,1,5
E05001463,2,5
E05001464,4,11
E05001698,1,1
E05001742,1,1
E05002213,1,1
E05003365,3,3
E05004147,1,2
E05004780,1,5
E05007399,1,1
E05007685,1,3
E05008522,1,1
E05008559,2,2
E05008560,1,3
E05008561,3,6
E05008643,1,1
E05008785,1,1
E05009106,1,1
E05009674,1,1
E05009675,1,4
E05009688,2,2
E05010044,1,3
E05010052,1,2
E05010057,1,4
E05010058,2,7
E05010316,1,1
E05010318,3,3
E05010322,1,1
E05010330,1,1
E05010563,1,2
E05010732,1,3
E05010747,1,5
E05010786,2,2
E05010860,1,3
E05010881,1,1
E05010884,1,1
E05010905,1,1
E05010909,1,2
E05010914,1,1
E05011078,2,6
E05011308,1,3
E05011326,1,1
E05011327,1,1
E05011329,3,6
E05011358,1,1
E05011361,1,3
E05011363,1,2
E05011365,1,1
E05011368,1,1
E05011375,1,1
E05011377,1,5
E05011384,5,10
E05011385,13,26
E05011387,17,30
E05011388,28,42
E05011389,11,20
E05011390,87,204
E05011391,11,43
E05011394,10,35
E05011395,6,13
E05011396,6,14
E05011397,139,241
E05011399,19,34
E05011400,11,21
E05011401,5,26
E05011402,61,118
E05011403,41,78
E05011404,3,4
E05011405,69,136
E05011406,5,21
E05011407,4,15
E05011409,10,23
E05011410,8,13
E05011411,57,148
E05011413,53,98
E05011414,1,1
E05011467,1,2
E05011526,1,2
E05011539,1,1
E05011547,36,85
E05011549,16,27
E05012001,1,1
E05012128,1,1
E05012240,1,1
E05012274,1,1
E05012363,1,2
E05012647,12,27
E05012648,11,33
E05012841,14,33
E05012842,18,48
E05013005,1,4
E05013011,2,6
E05013012,1,2
E05013017,1,1
E05013050,1,1
E05013220,1,1
E05013458,1,1
E05013589,1,1
E05013605,1,1
E05013614,1,3
E05013752,1,1
E05013812,1,1
E05013828,1,2
E05013830,1,1
E05013831,15,20
E05013866,1,3
E05013943,1,2
E05014105,1,1
E05014111,1,1
E05014113,1,2
E05014127,1,1
S13002766,2,5
W05001775,1,1
