date,orders,tickets
2023-03-31,6,10
2023-04-07,51,141
2023-04-14,103,247
2023-04-21,181,462
2023-04-28,413,886
2023-05-05,615,1331
2023-05-12,905,1936
2023-05-19,999,2101
2023-05-26,1017,2123
