ward_code,orders,tickets
E05000798,1,7
E05000832,1,8
E05000836,1,4
E05000908,1,1
E05000936,1,1
E05000986,1,2
E05000988,2,4
E05001234,1,2
E05001294,1,2
E05001341,1,1
E05001342,2,4
E05001343,1,4
E05001345,1,2
E05001347,1,1
E05001351,1,2
E05001352,1,2
E05001353,2,2
E05001354,1,1
E05001359,1,1
E05001360,1,4
E05001362,3,7
E05001364,1,8
E05001365,2,4
E05001371,1,2
E05001372,2,5
E05001375,1,2
E05001377,1,2
E05001380,1,2
E05001383,1,2
E05001396,1,1
E05001397,3,6
E05001398,1,2
E05001400,1,2
E05001409,2,5
E05001444,4,8
E05001445,1,2
E05001446,3,5
E05001448,1,2
E05001449,1,6
E05001451,1,2
E05001454,4,9
E05001455,1,2
E05001456,4,8
E05001457,1,2
E05001458,3,8
E05001459,1,1
E05001461,1,1
E05001462,1,2
E05001464,4,11
E05001699,1,2
E05001708,1,2
E05003355,1,2
E05004292,2,3
E05004714,1,3
E05005220,2,2
E05005492,1,2
E05006316,1,2
E05008558,1,2
E05008652,1,1
E05008818,3,4
E05009055,1,2
E05009142,1,2
E05009320,1,2
E05009380,1,1
E05009664,1,5
E05009665,1,3
E05009670,2,5
E05009671,2,4
E05009673,1,3
E05009674,1,3
E05010044,1,2
E05010046,3,11
E05010053,1,4
E05010054,1,4
E05010058,3,5
E05010060,2,8
E05010073,1,2
E05010165,1,1
E05010312,1,3
E05010316,1,1
E05010318,2,6
E05010320,1,4
E05010517,1,1
E05010637,1,2
E05010642,1,2
E05010648,1,2
E05010737,1,3
E05010739,1,1
E05010861,2,2
E05010863,2,3
E05010869,4,8
E05010871,1,2
E05010873,1,4
E05010875,1,1
E05010880,3,5
E05010882,5,10
E05011012,1,3
E05011310,1,2
E05011312,1,2
E05011319,1,2
E05011329,3,10
E05011342,1,3
E05011343,1,3
E05011350,1,1
E05011353,1,2
E05011356,1,1
E05011358,3,5
E05011363,1,2
E05011376,1,1
E05011380,2,2
E05011384,9,22
E05011385,9,21
E05011387,5,12
E05011388,6,12
E05011389,14,27
E05011390,36,76
E05011391,9,16
E05011394,5,9
E05011395,7,14
E05011396,13,30
E05011397,29,54
E05011399,37,57
E05011400,4,6
E05011401,53,125
E05011402,19,38
E05011403,6,8
E05011404,3,6
E05011405,24,51
E05011406,3,7
E05011407,7,17
E05011409,8,11
E05011410,20,42
E05011411,28,62
E05011413,23,46
E05011414,1,1
E05011424,4,8
E05011457,1,3
E05011501,1,1
E05011504,2,6
E05011547,11,18
E05011549,5,15
E05012047,1,2
E05012128,1,4
E05012647,8,18
E05012648,3,8
E05012841,8,26
E05012842,10,19
E05012947,1,2
E05012973,1,1
E05013120,1,2
E05013398,1,2
E05013507,1,3
E05013573,1,1
E05013669,1,1
E05013703,1,4
E05013704,1,1
E05013710,2,3
E05013713,37,66
E05013730,1,1
E05013830,34,74
E05013831,17,36
E05013949,1,1
E05013954,5,9
E05014086,1,5
E05014112,1,1
E05014127,2,2
E05014156,1,3
S13002883,1,2
W05001144,1,2
W05001274,1,1
