month_ending,events,audience,cumulative_events,cumulative_audience
2023-04-30,2,62,2,62
2023-05-31,1,20,3,82
2023-06-30,1,50,4,132
2023-07-31,5,74,9,206
2023-08-31,7,366,16,572
2023-09-30,2,1485,18,2057
