ticket_tailor_id,airtable_id,created_at,event_date,number_of_tickets,ward_code
ev_2809632,241,2023-07-11 21:55:42,2023-09-05,2,E05011402
ev_2809632,241,2023-07-13 13:29:16,2023-09-05,2,E05011402
ev_2809632,241,2023-07-14 18:21:57,2023-09-05,3,E05001372
ev_2809632,241,2023-07-17 11:10:07,2023-09-05,2,E05011403
ev_2809632,241,2023-07-17 16:39:03,2023-09-05,5,E05011390
ev_2809632,241,2023-07-18 15:09:03,2023-09-05,2,E05011385
ev_2809632,241,2023-07-23 19:59:53,2023-09-05,1,E05011401
ev_2809632,241,2023-07-27 14:48:14,2023-09-05,1,
ev_2809632,241,2023-07-28 07:13:27,2023-09-05,1,E05011401
ev_2809632,241,2023-07-28 15:12:18,2023-09-05,2,E05013830
ev_2809632,241,2023-08-04 18:57:40,2023-09-05,2,E05001448
ev_2809632,241,2023-08-04 19:13:37,2023-09-05,1,E05001456
ev_2809632,241,2023-08-05 07:25:27,2023-09-05,4,E05011401
ev_2809632,241,2023-08-06 20:33:03,2023-09-05,2,E05011407
ev_2809632,241,2023-08-07 08:56:32,2023-09-05,2,E05012647
ev_2809632,241,2023-08-08 07:13:36,2023-09-05,2,E05011396
ev_2809632,241,2023-08-08 13:30:46,2023-09-05,1,E05013830
ev_2809632,241,2023-08-08 18:19:17,2023-09-05,2,E05010648
ev_2809632,241,2023-08-11 09:33:16,2023-09-05,2,E05011413
ev_2809632,241,2023-08-11 20:40:59,2023-09-05,2,E05001380
ev_2809632,241,2023-08-11 21:59:33,2023-09-05,1,E05011390
ev_2809632,241,2023-08-11 22:00:42,2023-09-05,1,E05011411
ev_2809632,241,2023-08-12 14:39:25,2023-09-05,2,E05011387
ev_2809632,241,2023-08-12 18:12:40,2023-09-05,2,E05011410
ev_2809632,241,2023-08-13 07:46:05,2023-09-05,1,E05011401
ev_2809632,241,2023-08-13 12:28:04,2023-09-05,2,E05011395
ev_2809632,241,2023-08-14 09:23:39,2023-09-05,3,E05011413
ev_2809632,241,2023-08-16 07:32:21,2023-09-05,7,E05011390
ev_2809632,241,2023-08-16 22:15:23,2023-09-05,1,E05011409
