date,audience,net_audience_growth,audience_gained,sent_messages_total,published_posts_total,received_messages_total,impressions,video_views,engagements,engagement_rate_per_impression,reactions,comments,shares,post_link_clicks,other_post_clicks,other_engagements,sent_tweets_twitter,sent_quote_tweets_twitter,sent_@replies_twitter,sent_direct_messages_twitter,received_mentions_twitter,received_direct_messages_twitter,received_retweets_twitter,received_quote_tweets_twitter,received_new_follower_alerts_twitter
2021-01-01,0,0,0,1,1,2,5774,0,83,1.44,25,0,5,13,0,40,1,0,0,0,2,0,0,0,0
2021-01-02,0,0,0,0,0,0,4324,0,40,0.93,7,0,2,7,0,24,0,0,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,3,747,0,11,1.47,3,0,1,1,0,6,0,0,0,0,3,0,0,0,0
2021-01-04,0,0,0,0,0,2,691,0,11,1.59,1,0,1,4,0,5,0,0,0,0,1,0,0,1,0
2021-01-05,0,0,0,1,1,9,3736,0,46,1.23,14,0,6,5,0,21,1,0,0,0,3,0,0,6,0
2021-01-06,0,0,0,2,2,6,14894,0,145,0.97,48,0,15,11,0,71,2,0,0,0,4,0,0,2,0
2021-01-07,0,0,0,2,2,10,9831,0,142,1.44,34,1,6,28,0,73,1,1,0,0,9,0,0,1,0
2021-01-08,0,0,0,0,0,11,3137,0,45,1.43,11,0,1,6,0,27,0,0,0,0,10,0,0,1,0
2021-01-09,0,0,0,1,1,1,5321,0,38,0.71,5,1,4,2,0,26,0,1,0,0,1,0,0,0,0
2021-01-10,0,0,0,1,1,6,13773,0,145,1.05,40,3,10,2,0,90,0,1,0,0,5,1,0,0,0
2021-01-11,0,0,0,0,0,11,5910,0,56,0.95,11,1,6,2,0,36,0,0,0,0,10,0,0,1,0
2021-01-12,0,0,0,0,0,1,1243,0,12,0.97,0,0,1,2,0,9,0,0,0,0,1,0,0,0,0
2021-01-13,0,0,0,0,0,1,923,0,8,0.87,1,0,0,3,0,4,0,0,0,0,1,0,0,0,0
2021-01-14,0,0,0,0,0,10,590,0,3,0.51,3,0,0,0,0,0,0,0,0,0,9,0,0,1,0
2021-01-15,0,0,0,0,0,7,393,0,11,2.8,0,0,1,3,0,7,0,0,0,0,5,0,0,2,0
2021-01-16,0,0,0,0,0,1,252,0,1,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2021-01-17,0,0,0,0,0,1,237,0,2,0.84,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
2021-01-18,0,0,0,0,0,2,319,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2021-01-19,0,0,0,0,0,3,292,0,2,0.68,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0
2021-01-20,0,0,0,0,0,1,288,0,5,1.74,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0
2021-01-21,0,0,0,0,0,2,195,0,5,2.56,0,0,0,4,0,1,0,0,0,0,1,1,0,0,0
2021-01-22,0,0,0,0,0,1,200,0,4,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0
2021-01-23,0,0,0,0,0,4,169,0,1,0.59,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0
2021-01-24,0,0,0,0,0,2,133,0,1,0.75,0,0,-1,2,0,0,0,0,0,0,2,0,0,0,0
2021-01-25,0,0,0,0,0,3,169,0,1,0.59,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
2021-01-26,0,0,0,3,3,15,14310,0,178,1.24,35,3,7,19,0,114,1,2,0,0,12,0,0,3,0
2021-01-27,0,0,0,0,0,3,1663,0,23,1.38,3,0,0,4,0,16,0,0,0,0,2,0,0,1,0
2021-01-28,0,0,0,2,2,5,6042,0,106,1.75,32,1,16,9,0,48,1,1,0,0,4,0,0,1,0
2021-01-29,0,0,0,1,1,5,3739,0,61,1.63,17,1,3,18,0,22,1,0,0,0,5,0,0,0,0
2021-01-30,0,0,0,1,1,2,2489,0,49,1.97,17,0,2,14,0,16,1,0,0,0,2,0,0,0,0
2021-01-31,0,0,0,0,0,2,1858,0,19,1.02,6,0,6,1,0,6,0,0,0,0,2,0,0,0,0
2021-02-01,0,0,0,0,0,1,1433,0,13,0.91,3,0,2,4,0,4,0,0,0,0,1,0,0,0,0
2021-02-02,0,0,0,0,0,9,650,0,7,1.08,0,0,0,1,0,6,0,0,0,0,8,0,0,1,0
2021-02-03,0,0,0,0,0,1,498,0,2,0.4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
2021-02-04,0,0,0,2,2,21,12078,0,520,4.31,55,10,8,25,0,422,2,0,0,0,19,0,0,2,0
2021-02-05,0,0,0,3,3,7,13015,0,274,2.11,27,2,16,51,0,178,1,2,0,0,4,0,0,3,0
2021-02-06,0,0,0,2,2,1,11369,0,168,1.48,37,0,22,42,0,67,1,1,0,0,1,0,0,0,0
2021-02-07,0,0,0,0,0,2,2090,0,22,1.05,0,0,1,4,0,17,0,0,0,0,1,0,0,1,0
2021-02-08,0,0,0,1,1,1,5316,0,87,1.64,15,0,9,33,0,30,1,0,0,0,1,0,0,0,0
2021-02-09,0,0,0,0,0,8,2693,0,46,1.71,5,1,1,19,0,20,0,0,0,0,7,1,0,0,0
2021-02-10,0,0,0,0,0,1,1121,0,19,1.69,0,0,0,11,0,8,0,0,0,0,0,0,0,1,0
2021-02-11,0,0,0,0,0,2,758,0,9,1.19,0,0,0,2,0,7,0,0,0,0,2,0,0,0,0
2021-02-12,0,0,0,0,0,2,584,0,3,0.51,-1,0,0,2,0,2,0,0,0,0,2,0,0,0,0
2021-02-13,0,0,0,0,0,2,554,0,10,1.81,0,0,0,4,0,6,0,0,0,0,1,0,0,1,0
2021-02-14,0,0,0,0,0,0,299,0,10,3.34,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2021-02-15,0,0,0,1,1,3,3510,0,11,0.31,3,0,0,0,0,8,0,1,0,0,2,0,0,1,0
2021-02-16,0,0,0,1,1,16,3630,0,23,0.63,12,0,1,1,0,9,0,1,0,0,15,0,0,1,0
2021-02-17,0,0,0,2,2,6,7484,0,33,0.44,20,0,4,0,0,9,0,2,0,0,4,0,0,2,0
2021-02-18,0,0,0,1,1,3,1154,0,19,1.65,6,0,1,1,0,11,1,0,0,0,2,0,0,1,0
2021-02-19,0,0,0,1,1,0,2316,0,51,2.2,13,0,4,1,0,33,1,0,0,0,0,0,0,0,0
2021-02-20,0,0,0,2,2,2,4974,0,38,0.76,18,0,4,0,0,16,0,2,0,0,2,0,0,0,0
2021-02-21,0,0,0,0,0,0,910,0,13,1.43,4,0,1,1,0,7,0,0,0,0,0,0,0,0,0
2021-02-22,0,0,0,0,0,0,412,0,3,0.73,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2021-02-23,0,0,0,2,2,12,5305,0,87,1.64,22,0,14,11,0,40,2,0,0,0,11,0,0,1,0
2021-02-24,0,0,0,1,1,7,4846,0,100,2.06,8,0,5,27,0,60,1,0,0,0,7,0,0,0,0
2021-02-25,0,0,0,3,3,6,11241,0,95,0.85,25,0,13,11,0,46,0,3,0,0,6,0,0,0,0
2021-02-26,0,0,0,2,2,5,6091,0,95,1.56,9,1,9,20,0,56,2,0,0,0,3,0,0,2,0
2021-02-27,0,0,0,0,0,1,1154,0,34,2.95,1,0,3,6,0,24,0,0,0,0,1,0,0,0,0
2021-02-28,0,0,0,0,0,6,475,0,15,3.16,1,0,0,0,0,14,0,0,0,0,5,0,0,1,0
2021-03-01,0,0,0,2,2,17,6503,0,50,0.77,17,0,7,2,0,24,0,2,0,0,13,0,0,4,0
2021-03-02,0,0,0,1,1,8,7185,0,162,2.25,19,0,16,44,0,83,1,0,0,0,6,0,0,2,0
2021-03-03,0,0,0,3,3,9,30608,0,470,1.54,69,4,48,115,0,234,3,0,0,0,7,0,0,2,0
2021-03-04,0,0,0,4,4,7,9681,0,109,1.13,24,0,14,12,0,59,2,2,0,0,6,0,0,1,0
2021-03-05,0,0,0,2,2,4,5596,0,122,2.18,20,1,9,25,0,67,1,1,0,0,3,0,0,1,0
2021-03-06,0,0,0,1,1,6,2597,0,40,1.54,10,0,4,7,0,19,0,1,0,0,6,0,0,0,0
2021-03-07,0,0,0,1,1,0,2492,0,22,0.88,9,0,2,1,0,10,0,1,0,0,0,0,0,0,0
2021-03-08,0,0,0,2,2,3,5855,0,37,0.63,12,0,10,0,0,15,0,2,0,0,3,0,0,0,0
2021-03-09,0,0,0,2,2,3,19978,0,115,0.58,39,0,19,15,0,42,1,1,0,0,3,0,0,0,0
2021-03-10,0,0,0,0,0,1,2333,0,9,0.39,3,0,1,2,0,3,0,0,0,0,1,0,0,0,0
2021-03-11,0,0,0,0,0,2,747,0,5,0.67,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0
2021-03-12,0,0,0,0,0,1,606,0,7,1.16,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0
2021-03-13,0,0,0,0,0,1,466,0,4,0.86,0,0,-1,4,0,1,0,0,0,0,1,0,0,0,0
2021-03-14,0,0,0,0,0,0,340,0,2,0.59,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2021-03-15,0,0,0,0,0,3,283,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2021-03-16,0,0,0,2,2,2,5168,0,54,1.04,16,0,9,11,0,18,1,1,0,0,2,0,0,0,0
2021-03-17,0,0,0,1,1,1,2736,0,35,1.28,10,0,3,3,0,19,0,1,0,0,1,0,0,0,0
2021-03-18,0,0,0,1,1,3,2826,0,43,1.52,8,1,2,0,0,32,0,1,0,0,3,0,0,0,0
2021-03-19,0,0,0,0,0,26,580,0,6,1.03,2,0,0,0,0,4,0,0,0,0,22,0,0,4,0
2021-03-20,0,0,0,0,0,0,247,0,2,0.81,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2021-03-21,0,0,0,3,3,1,4545,0,50,1.1,15,1,0,6,0,28,0,2,1,0,1,0,0,0,0
2021-03-22,0,0,0,2,2,6,15586,0,204,1.31,30,1,14,77,0,82,1,1,0,0,6,0,0,0,0
2021-03-23,0,0,0,4,4,10,12069,0,124,1.03,29,2,7,19,0,67,2,1,1,0,8,0,0,2,0
2021-03-24,0,0,0,2,2,5,11160,0,202,1.81,35,0,15,60,0,92,2,0,0,0,4,0,0,1,0
2021-03-25,0,0,0,3,3,2,26128,0,482,1.84,84,1,29,170,0,198,2,1,0,0,1,0,0,1,0
2021-03-26,0,0,0,0,0,5,3960,0,79,1.99,4,0,1,21,0,53,0,0,0,0,4,0,0,1,0
2021-03-27,0,0,0,0,0,8,1009,0,21,2.08,4,0,2,11,0,4,0,0,0,0,8,0,0,0,0
2021-03-28,0,0,0,1,1,0,3635,0,40,1.1,6,0,2,10,0,22,0,1,0,0,0,0,0,0,0
2021-03-29,0,0,0,1,1,4,18118,0,113,0.62,34,1,12,1,0,65,0,1,0,0,4,0,0,0,0
2021-03-30,0,0,0,2,2,3,12739,0,132,1.04,35,-1,12,46,0,40,2,0,0,0,3,0,0,0,0
2021-03-31,0,0,0,0,0,6,4199,0,48,1.14,7,0,4,11,0,26,0,0,0,0,6,0,0,0,0
2021-04-01,0,0,0,3,3,7,18241,0,315,1.73,19,0,26,121,0,149,2,1,0,0,4,0,0,3,0
2021-04-02,0,0,0,4,4,10,30662,0,524,1.71,121,2,26,28,0,347,2,1,1,0,6,0,0,4,0
2021-04-03,0,0,0,0,0,2,7089,0,108,1.52,11,1,10,26,0,60,0,0,0,0,2,0,0,0,0
2021-04-04,0,0,0,0,0,0,1819,0,30,1.65,3,0,1,5,0,21,0,0,0,0,0,0,0,0,0
2021-04-05,0,0,0,1,1,2,3731,0,49,1.31,11,0,3,14,0,21,1,0,0,0,2,0,0,0,0
2021-04-06,0,0,0,1,1,2,14117,0,185,1.31,35,0,11,68,0,71,1,0,0,0,0,0,0,2,0
2021-04-07,0,0,0,3,3,6,18310,0,378,2.06,32,0,27,133,0,186,2,1,0,0,4,0,0,2,0
2021-04-08,0,0,0,0,0,17,33172,0,549,1.66,32,0,39,163,0,315,0,0,0,0,10,0,0,7,0
