week_ending,attendance,contact_consents,cumulative_attendance,cumulative_contact_consents
2022-05-06,0,0,0,0
2022-05-13,12,12,12,12
2022-05-20,80,31,92,43
2022-05-27,22,33,114,76
2022-06-03,28,18,142,94
2022-06-10,17,6,159,100
2022-06-17,94,37,253,137
2022-06-24,111,52,364,189
2022-07-01,52,36,416,225
2022-07-08,42,10,458,235
2022-07-15,45,19,503,254
2022-07-22,132,30,635,284
2022-07-29,64,12,699,296
2022-08-05,78,32,777,328
2022-08-12,8,3,785,331
2022-08-19,0,0,785,331
2022-08-26,0,0,785,331
2022-09-02,16,13,801,344
