event_date,event_time,event_name,event_id,project_name,public_event
2023-03-23,18:30,Leeds Secondary Poetry Slam,ev_1917382,,
2023-03-30,18:30,Leeds Secondary Poetry Slam,ev_1917379,,
2023-04-04,08:00,Celebrating LEEDS 2023 'Part Two' PLAYING & The Future of Fashion,ev_1999356,,
2023-04-04,16:30,Waking The Artist: Preview,ev_2065844,,
2023-04-04,16:45,Waking The Artist: Preview,ev_2065845,,
2023-04-04,17:00,Waking The Artist: Preview,ev_2065846,,
2023-04-04,17:15,Waking The Artist: Preview,ev_2065847,,
2023-04-04,17:30,Waking The Artist: Preview,ev_2065848,,
2023-04-04,17:45,Waking The Artist: Preview,ev_2065849,,
2023-04-04,18:00,Waking The Artist: Preview,ev_2065850,,
2023-04-04,18:15,Waking The Artist: Preview,ev_2065851,,
2023-04-04,18:30,Waking The Artist: Preview,ev_2065852,,
2023-04-04,18:45,Waking The Artist: Preview,ev_2065853,,
2023-04-04,19:00,Waking The Artist: Preview,ev_2065854,,
2023-04-04,19:15,Waking The Artist: Preview,ev_2065855,,
2023-04-04,19:30,Waking The Artist: Preview,ev_2065856,,
2023-04-19,14:00,LEEDS 2023: Product Design Workshop,ev_2244663,,
2023-04-19,18:00,LEEDS 2023 & DOMA – Hibiscus Rising Event,ev_2093403,,
2023-04-25,17:30,Immersive Maps and Digital Footprints: Exploring LEEDS 2023’s Culture Map,ev_2052297,,
2023-04-30,17:40,Barn Raiser Car Parking,ev_2261419,,
2023-04-30,23:40,Barn Raiser Car Parking,ev_2261420,,
2023-05-01,05:40,Barn Raiser Car Parking,ev_2261422,,
2023-05-01,11:30,Barn Raiser Car Parking,ev_2261423,,
2023-05-01,14:00,LEEDS 2023: Product Design Workshop,ev_2244664,,
2023-05-01,18:15,The WOW Barn Topping Out Ceremony,ev_2103472,05 - The Barn,True
2023-05-01,18:15,Barnraiser Topping Out Ceremony,ev_2276667,05 - The Barn,True
2023-05-02,14:00,LEEDS 2023: Product Design Workshop,ev_2244665,,
2023-05-03,14:00,LEEDS 2023: Product Design Workshop,ev_2244666,,
2023-05-08,18:30,Suhaiymah Manzoor-Khan - Car Parking,ev_2375083,,
2023-05-08,19:00,LEEDS 2023 presents Suhaiymah Manzoor-Khan at The WOW Barn,ev_2063323,05 - The Barn,True
2023-05-09,18:00,Bridget Christie - Car Parking,ev_2375168,,
2023-05-09,19:00,LEEDS 2023 presents Bridget Christie at The WOW Barn,ev_2063298,05 - The Barn,True
2023-05-09,21:00,LEEDS 2023 presents Bridget Christie at The WOW Barn,ev_2063299,05 - The Barn,True
2023-05-11,19:00,LEEDS 2023 presents Shazia Mirza at The WOW Barn,ev_2063305,05 - The Barn,True
2023-05-12,18:00,Andi Oliver - Car Parking,ev_2380832,,
2023-05-12,19:30,LEEDS 2023 presents Andi Oliver at The WOW Barn,ev_2076173,05 - The Barn,True
2023-05-13,09:30,The WOW Barn Opening and Barn Raiser Portraits Private View,ev_2107622,,
2023-05-13,10:30,The WOW Barn Festival,ev_2058305,05 - The Barn,True
2023-05-13,11:00,The WOW Barn Festival - Build A Barn Birdbox,ev_2380853,,
2023-05-13,11:00,WOW Speed Mentoring,ev_2385797,,
2023-05-13,12:30,The WOW Barn Festival - Build A Barn Birdbox,ev_2380854,,
2023-05-13,14:00,The WOW Barn Festival - All Cisterns Go,ev_2380865,,
2023-05-13,14:00,The WOW Barn Festival - Build A Barn Birdbox,ev_2380855,,
2023-05-13,15:30,WOW Speed Mentoring,ev_2385798,,
2023-05-13,15:30,The WOW Barn Festival - Period & Empowerment Cross Stitch,ev_2380933,,
2023-05-13,15:30,The WOW Barn Festival - Build A Barn Birdbox,ev_2380856,,
2023-05-13,19:30,A Barn Dance at The WOW Barn,ev_2078074,,
2023-05-16,18:30,Natalie Haynes - Car Parking,ev_2389087,,
2023-05-16,19:30,LEEDS 2023 presents Natalie Haynes at The WOW Barn,ev_2064393,05 - The Barn,True
2023-05-20,15:00,Braindance with Hyde Park Book Club at The WOW Barn,ev_2263745,05 - The Barn,True
2023-05-23,17:30,LEEDS 2023 Awakening Documentary Screening,ev_2381816,,
2023-05-23,18:30,LEEDS 2023 Awakening Documentary Screening,ev_2381817,,
2023-05-27,19:30,It's A Wrap Reggae Party,ev_2306057,,
2023-06-15,12:00,Making a Stand Launch Event,ev_2377802,,
2023-06-15,18:30,Intimate Drinks Reception and Dinner with LEEDS 2023 CEO and Artists of Making a Stand,ev_2377556,,
2023-06-28,16:00,Creative Learning S2: Youth Voice for Teachers,ev_2407051,,
2023-06-28,19:00,Feel the Music Live!,ev_2553157,,
2023-06-29,12:30,Making a Stand: Audio Described (AD) Tour,ev_2667173,02 - Making A Stand,True
2023-07-09,10:15,My LEEDS Summer: Our Alwoodley: Walking Poetry,ev_2605929,12 - My LEEDS 2023,True
2023-07-14,19:30,Children's Day: Reimagined,ev_2240951,07 - Children's Day,True
2023-07-14,19:30,Children's Day: Reimagined Guest Event,ev_2690524,07 - Children's Day,True
2023-07-29,12:30,Float on Aire: Reflective Boat Journey,ev_2825443,12 - My LEEDS 2023,True
2023-07-29,12:40,Hunslet History and Sketching Walks,ev_2825465,12 - My LEEDS 2023,True
2023-07-29,12:45,Yoga Hero: Introduction and destressing yoga,ev_2825709,12 - My LEEDS 2023,True
2023-07-29,13:15,Introduction to Paddleboarding,ev_2825714,12 - My LEEDS 2023,True
2023-07-29,13:30,Float on Aire: Reflective Boat Journey,ev_2825468,12 - My LEEDS 2023,True
2023-07-29,14:30,Float on Aire: Reflective Boat Journey,ev_2825529,12 - My LEEDS 2023,True
2023-07-29,14:45,Introduction to Paddleboarding,ev_2825718,12 - My LEEDS 2023,True
2023-07-29,15:00,Yoga Hero: Introduction and destressing yoga,ev_2825710,12 - My LEEDS 2023,True
2023-07-29,15:00,Hunslet History and Sketching Walks,ev_2825702,12 - My LEEDS 2023,True
2023-07-29,15:30,Float on Aire: Reflective Boat Journey,ev_2825530,12 - My LEEDS 2023,True
2023-07-29,16:15,Introduction to Paddleboarding,ev_2825719,12 - My LEEDS 2023,True
2023-08-03,12:00,Moon Palace: Stakeholder Launch,ev_2825913,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-08-03,13:00,Moon Palace: Stakeholder Launch,ev_2825914,09 - Smeaton300: Moon Palace East Leeds Observatory,True
2023-08-06,22:00,Moon Palace: After Dark Observation Session at The Royal Armouries,ev_2054071,09 - Smeaton300: Moon Palace East Leeds Observatory,True
