month_ending,events,audience,cumulative_events,cumulative_audience
2023-04-30,1,150,1,150
2023-05-31,4,50,5,200
2023-06-30,11,215,16,415
2023-07-31,10,359,26,774
2023-08-31,13,457,39,1231
2023-09-30,3,4,42,1235
2023-10-31,3,1095,45,2330
2023-11-30,4,70,49,2400
2023-12-31,1,609,50,3009
