id,name,location,card_price,time,display,stage
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-02-27 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-02-28 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-01 09:00:00,True,['Published/Will be']
79768,Meditative Walks with Brahma Kumaris,Kirkstall Abbey,Free,2023-03-01 10:30:00,True,['Published/Will be']
80829,Wellbeing Wednesdays at Leeds Art Gallery ,Leeds Art Gallery,Free,2023-03-01 11:30:00,True,['Published/Will be']
79685,Keep Crafting - free adult crafts,Leeds City Museum,Free,2023-03-01 15:00:00,True,['Published/Will be']
79243,Lindy Hop Fundamentals,The Dance Studio Leeds,£32,2023-03-01 19:30:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-02 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-03 09:00:00,True,['Published/Will be']
79686,Tiny Tigers - museum crafts for under 5s,Leeds City Museum,Free,2023-03-03 10:00:00,True,['Published/Will be']
80128,Meet & Make,Leeds Art Gallery,Free,2023-03-03 13:30:00,True,['Published/Will be']
77859,Lindy Fridays,Carriageworks Theatre,,2023-03-03 19:00:00,,
79690,Rory's Saturday Club - free crafts for families,Leeds City Museum,Free,2023-03-04 11:00:00,True,['Published/Will be']
79575,The Bad Mittens Sunday at Armley,Armley Leisure Centre,From £2.50,2023-03-05 12:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-06 09:00:00,True,['Published/Will be']
80929,Beginners Pilates Class,We Are Wellness,Free first beginner class,2023-03-06 17:30:00,True,['Published/Will be']
80978,Clubbercise ,New Farnley Community Centre,From £5,2023-03-06 19:10:00,,
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-07 09:00:00,True,['Published/Will be']
80980,Clubbercise,Swinnow Community Centre,From £5,2023-03-07 19:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-08 09:00:00,True,['Published/Will be']
79768,Meditative Walks with Brahma Kumaris,Kirkstall Abbey,Free,2023-03-08 10:30:00,True,['Published/Will be']
80829,Wellbeing Wednesdays at Leeds Art Gallery ,Leeds Art Gallery,Free,2023-03-08 11:30:00,True,['Published/Will be']
79243,Lindy Hop Fundamentals,The Dance Studio Leeds,£32,2023-03-08 19:30:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-09 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-10 09:00:00,True,['Published/Will be']
79686,Tiny Tigers - museum crafts for under 5s,Leeds City Museum,Free,2023-03-10 10:00:00,True,['Published/Will be']
80128,Meet & Make,Leeds Art Gallery,Free,2023-03-10 13:30:00,True,['Published/Will be']
77859,Lindy Fridays,Carriageworks Theatre,,2023-03-10 19:00:00,,
79690,Rory's Saturday Club - free crafts for families,Leeds City Museum,Free,2023-03-11 11:00:00,True,['Published/Will be']
79575,The Bad Mittens Sunday at Armley,Armley Leisure Centre,From £2.50,2023-03-12 12:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-13 09:00:00,True,['Published/Will be']
80929,Beginners Pilates Class,We Are Wellness,Free first beginner class,2023-03-13 17:30:00,True,['Published/Will be']
80978,Clubbercise ,New Farnley Community Centre,From £5,2023-03-13 19:10:00,,
