ward_code,events,audience
E05011384,2,109.0
E05011388,3,60.0
E05011391,2,0.0
E05011399,1,17.0
E05011400,2,0.0
E05011401,1,60.0
E05011404,2,225.0
E05011414,1,0.0
E05012842,6,17.0
