month_ending,events,audience,cumulative_events,cumulative_audience
2023-05-31,1,17,1,17
2023-06-30,5,195,6,212
2023-07-31,0,0,6,212
2023-08-31,0,0,6,212
2023-09-30,6,17,12,229
2023-10-31,8,1479,20,1708
2023-11-30,17,454,37,2162
2023-12-31,4,0,41,2162
