week_ending,events,audience,cumulative_events,cumulative_audience
2023-05-05,1,0,1,0
2023-05-12,0,0,1,0
2023-05-19,0,0,1,0
2023-05-26,0,0,1,0
2023-06-02,0,0,1,0
2023-06-09,5,195,6,195
2023-06-16,0,0,6,195
2023-06-23,0,0,6,195
2023-06-30,0,0,6,195
2023-07-07,0,0,6,195
2023-07-14,0,0,6,195
2023-07-21,0,0,6,195
2023-07-28,0,0,6,195
2023-08-04,0,0,6,195
2023-08-11,0,0,6,195
2023-08-18,0,0,6,195
2023-08-25,0,0,6,195
2023-09-01,0,0,6,195
2023-09-08,0,0,6,195
2023-09-15,0,0,6,195
2023-09-22,0,0,6,195
2023-09-29,0,0,6,195
2023-10-06,14,1496,20,1691
2023-10-13,0,0,20,1691
2023-10-20,0,0,20,1691
2023-10-27,0,0,20,1691
2023-11-03,0,0,20,1691
2023-11-10,4,229,24,1920
2023-11-17,5,225,29,2145
