ward_code,events,audience
E05011384,1,500.0
E05011385,5,500.0
E05011387,3,800.0
E05011388,3,350.0
E05011389,5,1507.0
E05011390,1,2400.0
E05011391,2,500.0
E05011394,3,150.0
E05011395,2,300.0
E05011396,3,275.0
E05011397,6,463.0
E05011399,9,1207.0
E05011400,2,1000.0
E05011401,1,300.0
E05011402,3,604.0
E05011403,1,400.0
E05011404,3,375.0
E05011405,4,1502.0
E05011406,3,300.0
E05011407,2,300.0
E05011409,2,350.0
E05011410,2,660.0
E05011411,5,2509.0
E05011413,5,601.0
E05011414,3,2350.0
E05011547,1,250.0
E05011549,3,100.0
E05012647,2,3900.0
E05012648,2,130.0
E05012841,3,3005.0
E05012842,5,500.0
E05013830,4,199.0
E05013831,2,3154.0
