week_starting,audience_last,engagements_total,net_audience_growth_total
2021-12-27,0,415,0
2022-01-03,0,810,0
2022-01-10,0,222,0
2022-01-17,0,2028,0
2022-01-24,0,9204,0
2022-01-31,0,4096,0
2022-02-07,0,1951,0
2022-02-14,0,510,0
2022-02-21,0,1360,0
2022-02-28,0,1130,0
2022-03-07,15101,734,16
2022-03-14,15151,861,50
2022-03-21,15212,847,61
2022-03-28,15253,1310,41
2022-04-04,15293,813,40
2022-04-11,15339,1343,46
2022-04-18,15381,587,42
2022-04-25,15411,986,30
2022-05-02,15450,456,39
2022-05-09,15512,980,62
2022-05-16,15594,745,82
2022-05-23,15652,606,58
2022-05-30,15823,4878,171
2022-06-06,15862,255,39
2022-06-13,16003,1590,141
2022-06-20,16083,1909,80
2022-06-27,16164,1040,81
2022-07-04,16237,786,73
2022-07-11,16294,697,57
2022-07-18,16375,728,81
2022-07-25,16480,441,105
2022-08-01,16510,76,30
