week_starting,audience_last,engagements_total,net_audience_growth_total
2021-12-27,0,3,1
2022-01-03,0,49,11
2022-01-10,0,11,10
2022-01-17,0,156,11
2022-01-24,0,490,183
2022-01-31,0,103,69
2022-02-07,0,163,37
2022-02-14,0,118,25
2022-02-21,0,179,32
2022-02-28,0,51,24
2022-03-07,1590,96,15
2022-03-14,0,82,26
2022-03-21,1656,162,42
2022-03-28,1693,245,35
2022-04-04,1717,172,27
2022-04-11,1760,105,40
2022-04-18,1778,102,19
2022-04-25,1808,62,30
2022-05-02,1847,125,43
2022-05-09,1861,90,10
2022-05-16,1884,53,24
2022-05-23,1902,123,17
2022-05-30,1941,319,44
2022-06-06,1963,103,20
2022-06-13,1986,151,24
2022-06-20,2001,101,19
2022-06-27,2049,378,52
2022-07-04,2089,111,39
2022-07-11,2122,343,33
2022-07-18,2150,223,28
2022-07-25,2187,280,41
2022-08-01,2214,96,28
