week_ending,audience_last,engagements_total,audience_gained_total,impressions_total
2022-04-10,3514,75,8,2435
2022-04-17,3513,177,2,3438
2022-04-24,3517,119,1,3436
2022-05-01,3520,54,3,1954
2022-05-08,3526,120,5,4652
2022-05-15,3533,162,7,4823
2022-05-22,3539,237,5,5766
2022-05-29,3546,146,6,3259
2022-06-05,3550,228,4,4879
2022-06-12,3562,249,7,9122
2022-06-19,3580,317,13,10343
2022-06-26,3594,227,12,8173
2022-07-03,3617,588,4,13600
2022-07-10,3626,104,6,3655
2022-07-17,3634,170,0,3868
2022-07-24,3648,395,8,9839
2022-07-31,3667,247,17,8275
2022-08-07,3676,122,6,4096
2022-08-14,3735,610,26,10748
2022-08-21,3742,132,3,4176
2022-08-28,3749,26,4,820
2022-09-04,3771,31,6,711
2022-09-11,3790,70,3,2272
2022-09-18,3801,17,5,632
2022-09-25,3858,543,24,19159
2022-10-02,3893,553,19,19472
2022-10-09,3912,1170,7,31733
2022-10-16,3939,1468,14,33322
2022-10-23,3956,317,7,12416
2022-10-30,4022,5816,32,44152
2022-11-06,4061,1228,19,17096
2022-11-13,4090,1213,13,29188
2022-11-20,4114,2940,14,84713
2022-11-27,4148,3926,18,73767
2022-12-04,4158,743,11,16014
2022-12-11,4181,819,13,17776
2022-12-18,4225,1577,21,32250
2022-12-25,4231,280,3,9025
2023-01-01,4266,2853,20,40795
2023-01-08,4603,7252,160,78192
2023-01-15,4699,3229,51,42335
2023-01-22,4736,1963,16,36197
2023-01-29,4770,2896,10,47984
2023-02-05,4786,644,9,15557
2023-02-12,4797,565,3,20777
2023-02-19,4809,847,9,20003
2023-02-26,4816,670,6,16812
