ward_code,booked,attended
E05000731,2,2
E05000783,2,0
E05000791,2,2
E05000792,4,4
E05000794,4,2
E05000813,4,1
E05000819,2,0
E05000824,2,1
E05000832,1,1
E05000836,2,2
E05000849,4,4
E05000859,4,0
E05000895,4,3
E05000912,2,2
E05000980,2,0
E05000990,2,2
E05000991,4,0
E05000993,2,2
E05001083,4,0
E05001139,2,2
E05001151,2,0
E05001221,4,2
E05001228,10,5
E05001341,12,6
E05001342,18,9
E05001343,4,4
E05001344,4,4
E05001345,54,30
E05001346,12,11
E05001347,14,10
E05001348,8,4
E05001349,10,4
E05001350,8,2
E05001352,12,8
E05001353,21,18
E05001354,48,27
E05001355,10,5
E05001356,106,50
E05001358,4,0
E05001360,8,0
E05001362,80,49
E05001364,1,0
E05001365,8,6
E05001366,29,23
E05001368,4,3
E05001369,8,4
E05001371,10,4
E05001372,16,9
E05001373,2,0
E05001375,4,0
E05001376,4,0
E05001377,4,2
E05001381,8,0
E05001382,2,0
E05001383,4,4
E05001384,4,0
E05001385,4,4
E05001386,6,0
E05001389,4,0
E05001390,37,2
E05001391,3,3
E05001392,32,12
E05001393,14,3
E05001397,6,4
E05001398,13,3
E05001399,16,14
E05001400,4,0
E05001401,6,0
E05001402,9,4
E05001403,9,4
E05001405,19,10
E05001407,8,8
E05001408,16,7
E05001409,6,6
E05001410,2,2
E05001444,2,2
E05001445,1,1
E05001446,14,4
E05001448,12,2
E05001449,10,7
E05001451,2,2
E05001452,6,2
E05001453,8,3
E05001454,6,6
E05001455,7,2
E05001456,4,4
E05001457,6,2
E05001458,18,14
E05001459,4,4
E05001460,12,11
E05001461,12,6
E05001462,14,9
E05001463,14,8
E05001464,32,16
E05001533,2,2
E05001644,4,0
E05001687,4,4
E05001691,2,2
E05001693,4,4
E05001694,4,3
E05001696,8,4
E05001700,8,8
E05001702,4,4
E05001705,10,3
E05001713,3,3
E05001739,8,5
E05001744,4,3
E05001775,2,2
E05003219,2,2
E05003226,4,1
E05003284,4,4
E05003342,4,0
E05003361,4,0
E05003366,4,1
E05004184,4,4
E05004186,2,0
E05004296,2,2
E05005216,4,2
E05005433,4,0
E05005452,2,0
E05005631,6,4
E05005633,4,3
E05006198,4,0
E05006206,4,4
E05006762,1,0
E05007041,3,3
E05007046,4,0
E05007464,4,3
E05007568,4,2
E05007685,2,2
E05008522,4,4
E05008559,13,9
E05008560,4,0
E05008561,12,11
E05008562,2,1
E05008661,2,2
E05008771,4,2
E05008774,2,0
E05008811,8,4
E05008962,4,3
E05009035,4,0
E05009078,4,3
E05009142,4,4
E05009373,4,3
E05009377,4,0
E05009380,2,0
E05009386,4,0
E05009404,4,3
E05009413,4,4
E05009599,1,0
E05009667,4,0
E05009668,8,0
E05009670,6,0
E05009674,8,1
E05009675,2,2
E05009679,4,4
E05009692,4,4
E05009710,4,0
E05009712,4,3
E05009865,2,2
E05009891,4,4
E05009932,2,2
E05010044,10,8
E05010047,2,0
E05010054,8,2
E05010055,4,0
E05010057,2,1
E05010058,8,4
E05010059,16,8
E05010060,10,4
E05010293,4,0
E05010313,2,0
E05010314,2,2
E05010315,11,7
E05010316,4,0
E05010317,4,0
E05010318,7,3
E05010320,2,2
E05010321,4,0
E05010322,4,4
E05010323,2,2
E05010324,4,0
E05010325,2,0
E05010326,2,0
E05010327,4,4
E05010328,2,0
E05010330,4,0
E05010494,4,4
E05010664,4,3
E05010732,2,2
E05010737,4,3
E05010741,4,4
E05010744,10,5
E05010746,2,0
E05010748,8,2
E05010774,4,3
E05010777,2,0
E05010860,4,0
E05010862,2,2
E05010863,3,2
E05010873,2,0
E05010875,14,7
E05010882,8,5
E05010884,4,4
E05010907,2,0
E05010925,3,2
E05011028,4,0
E05011085,4,3
E05011099,4,4
E05011101,2,0
E05011130,2,2
E05011143,4,3
E05011157,2,2
E05011168,4,2
E05011179,2,0
E05011220,4,0
E05011243,4,4
E05011298,4,4
E05011301,4,0
E05011308,4,0
E05011310,4,2
E05011311,6,5
E05011314,18,6
E05011315,4,4
E05011316,6,3
E05011317,8,4
E05011318,8,7
E05011321,4,0
E05011323,32,18
E05011325,4,0
