la_code,booked,attended
E06000002,2,2
E06000004,2,2
E06000007,4,0
E06000009,4,0
E06000010,20,9
E06000011,44,32
E06000012,3,3
E06000013,12,8
E06000014,60,24
E06000015,2,2
E06000018,12,4
E06000023,2,0
E06000024,4,0
E06000027,2,0
E06000030,4,3
E06000042,4,4
E06000047,8,3
E06000049,2,2
E06000050,58,30
E06000055,6,2
E06000057,4,4
E06000062,4,0
E07000008,4,3
E07000009,2,2
E07000012,8,4
E07000030,6,3
E07000031,4,2
E07000032,8,8
E07000035,12,1
E07000039,8,4
E07000045,4,3
E07000065,4,2
E07000073,6,4
E07000078,2,2
E07000118,4,2
E07000120,4,2
E07000121,1,0
E07000124,2,0
E07000128,2,2
E07000130,6,0
E07000131,2,1
E07000137,4,4
E07000139,10,7
E07000163,32,7
E07000164,14,7
E07000165,214,130
E07000166,4,0
E07000168,23,6
E07000169,60,27
E07000173,4,4
E07000176,8,3
E07000177,3,2
E07000179,2,0
E07000187,1,0
E07000194,4,3
E07000197,4,4
E07000198,7,3
E07000207,4,3
E07000218,4,3
E07000223,4,2
E07000228,2,2
E08000002,10,0
E08000003,51,23
E08000004,2,2
E08000006,8,4
E08000007,12,8
E08000008,4,1
E08000009,7,4
E08000010,8,4
E08000012,6,5
E08000016,10,4
E08000017,30,16
E08000018,16,9
E08000019,37,20
E08000021,4,2
E08000023,4,2
E08000025,14,9
E08000026,14,7
E08000032,483,277
E08000033,68,23
E08000034,235,103
E08000035,6580,3666
E08000036,184,105
E08000037,4,0
E09000004,4,0
E09000006,24,6
E09000007,4,0
E09000010,2,0
E09000012,14,3
E09000018,2,0
E09000019,8,5
E09000020,4,3
E09000022,9,4
E09000023,4,0
E09000024,2,0
E09000026,4,4
E09000027,4,3
E09000028,6,4
E09000031,4,3
E09000032,2,0
E09000033,8,4
S12000014,1,0
UNKNOWN,659,371
W06000015,4,2
