ward_code,events,audience
E05011384,2,109.0
E05011388,2,0.0
E05011390,1,0.0
E05011391,1,131.0
E05011394,4,258.0
E05011399,6,289.0
E05011400,1,142.0
E05011401,1,60.0
E05011404,2,225.0
E05011406,1,233.0
E05011414,1,0.0
