date_submitted,my_leeds_grant_app,my_leeds_schools_grants_application,total_responses
2023-02-03,3,0,3
2023-02-10,17,0,17
2023-02-17,26,0,26
2023-02-24,46,0,46
2023-03-03,146,0,146
2023-03-10,191,0,191
2023-03-17,1,0,1
2023-03-24,14,0,14
2023-03-31,29,0,29
2023-04-07,1,0,1
2023-04-14,0,0,0
2023-04-21,0,1,1
2023-04-28,11,4,15
2023-05-05,21,4,25
2023-05-12,0,3,3
2023-05-19,2,21,23
2023-05-26,3,0,3
2023-06-02,0,0,0
2023-06-09,0,0,0
2023-06-16,0,0,0
2023-06-23,0,0,0
2023-06-30,0,0,0
2023-07-07,0,0,0
2023-07-14,0,0,0
2023-07-21,1,0,1
2023-07-28,0,0,0
2023-08-04,0,0,0
2023-08-11,0,0,0
2023-08-18,0,0,0
2023-08-25,0,0,0
2023-09-01,0,0,0
2023-09-08,0,2,2
2023-09-15,0,3,3
2023-09-22,0,5,5
