school_name,ward
New Horizons Community School,Chapel Allerton
East SILC Jack Clark,Gipton and Harehills
Co-op Beckfield,Pudsey
Lady Lane Park,Bingley
Oulton Academy,Rothwell
East SILC John Jamieson,Roundhay
