week_ending,audience_last,engagements_total,audience_gained_total,impressions_total
2022-04-10,25383,1107,140,48081
2022-04-17,25505,1707,121,90491
2022-04-24,25599,889,104,32360
2022-05-01,25692,1175,98,45717
2022-05-08,25809,775,115,45667
2022-05-15,25940,1392,124,62726
2022-05-22,26093,1199,153,59699
2022-05-29,26218,954,126,46425
2022-06-05,26455,5598,250,124659
2022-06-12,26581,679,119,29217
2022-06-19,26783,2071,197,87262
2022-06-26,26908,2365,124,83136
2022-07-03,27077,2195,156,95201
2022-07-10,27223,1062,124,36455
2022-07-17,27371,1221,115,43498
2022-07-24,27530,1365,138,55926
2022-07-31,27727,1017,186,29811
2022-08-07,27854,608,127,18045
2022-08-14,28180,5371,257,160511
2022-08-21,28349,1271,158,31634
2022-08-28,28484,682,141,21492
2022-09-04,28635,183,90,14139
2022-09-11,28810,337,98,11836
2022-09-18,28903,56,88,2165
2022-09-25,29424,6368,494,275276
2022-10-02,29742,2073,227,93732
2022-10-09,29994,2090,212,68875
2022-10-16,30280,4411,264,127688
2022-10-23,30509,1523,235,54732
2022-10-30,30830,8383,241,122252
2022-11-06,31033,2861,197,75526
2022-11-13,31215,2699,169,87616
2022-11-20,31466,4654,250,155696
2022-11-27,31748,7976,311,257684
2022-12-04,31808,2238,135,76959
2022-12-11,31983,3256,161,79238
2022-12-18,32279,5099,257,154752
2022-12-25,32401,1159,124,39488
2023-01-01,32615,6103,183,175830
2023-01-08,35262,30177,2257,898124
2023-01-15,36130,9956,762,229918
2023-01-22,36485,4304,322,115597
2023-01-29,36850,3978,280,108376
2023-02-05,37080,2121,222,64278
2023-02-12,37305,1974,223,78757
2023-02-19,37539,2576,235,93293
2023-02-26,37743,2522,200,89909
2023-03-05,37995,2584,248,88063
2023-03-12,38203,3269,220,109791
2023-03-19,38336,2412,167,84936
2023-03-26,38550,1816,220,60538
2023-04-02,38807,5809,251,171919
2023-04-09,39143,8806,326,292100
2023-04-16,35070,3997,228,152411
2023-04-23,35334,10215,284,305725
2023-04-30,35584,10404,302,302556
2023-05-07,40419,16985,357,431078
2023-05-14,40881,13792,419,476444
2023-05-21,41102,4221,208,176258
2023-05-28,41336,10918,207,230352
2023-06-04,41505,8312,151,191801
2023-06-11,41700,7097,183,263179
2023-06-18,42019,9322,249,292354
2023-06-25,42281,4808,203,199955
2023-07-02,42474,4717,159,163786
2023-07-09,42732,4709,220,175023
2023-07-16,43004,5071,208,186561
2023-07-23,43213,1659,169,84663
2023-07-30,43347,1265,137,67473
2023-08-06,43514,4630,153,113603
2023-08-13,43690,7706,173,199259
2023-08-20,43829,8897,134,409516
2023-08-27,44010,14359,183,417090
2023-09-03,44145,14432,152,409605
2023-09-10,44373,7428,221,183679
2023-09-17,44535,3054,166,101911
2023-09-24,44757,3973,209,111585
2023-10-01,44959,3135,199,98905
2023-10-08,45231,9300,254,377670
2023-10-15,45473,8776,239,402482
2023-10-22,45687,8742,244,427972
2023-10-29,45994,10374,280,421256
2023-11-05,46155,8165,243,405481
2023-11-12,46338,6106,198,396350
2023-11-19,46474,5769,171,372748
2023-11-26,46646,6327,185,352077
2023-12-03,46764,5303,130,210590
2023-12-10,46957,3763,206,188176
2023-12-17,47073,5023,139,204227
2023-12-24,47137,9375,98,290740
2023-12-31,47188,9003,86,262917
