ward_code,orders,tickets
E05000724,1,4
E05000794,2,5
E05000814,1,2
E05000976,1,2
E05000980,1,1
E05000986,1,3
E05000988,1,1
E05001292,1,2
E05001341,1,2
E05001342,7,18
E05001343,1,3
E05001344,1,2
E05001345,2,8
E05001347,5,17
E05001348,1,3
E05001349,4,9
E05001350,1,2
E05001352,3,8
E05001353,11,31
E05001354,9,33
E05001356,2,4
E05001359,1,1
E05001360,3,5
E05001362,14,31
E05001363,3,7
E05001365,3,6
E05001366,4,14
E05001368,1,1
E05001369,2,6
E05001370,1,1
E05001371,2,8
E05001372,5,17
E05001375,3,8
E05001377,1,2
E05001378,1,1
E05001381,4,12
E05001382,1,1
E05001383,3,12
E05001384,1,2
E05001385,2,3
E05001390,2,4
E05001391,1,1
E05001392,7,15
E05001393,1,3
E05001396,1,2
E05001397,1,2
E05001398,2,7
E05001399,1,2
E05001400,2,6
E05001402,5,9
E05001403,2,7
E05001405,2,11
E05001408,5,15
E05001409,3,7
E05001445,2,3
E05001446,4,10
E05001447,2,4
E05001448,2,3
E05001449,2,4
E05001454,1,1
E05001455,1,2
E05001458,8,22
E05001459,1,1
E05001461,5,13
E05001462,1,1
E05001464,4,15
E05001552,1,5
E05001697,1,1
E05001702,1,2
E05001704,2,5
E05001739,1,3
E05002434,1,1
E05003152,1,1
E05003282,1,2
E05003284,2,4
E05005633,1,2
E05006300,1,2
E05008559,4,9
E05008561,3,12
E05008638,2,3
E05008968,1,2
E05009051,1,1
E05009579,1,1
E05009668,1,4
E05009674,1,1
E05009682,1,4
E05009701,1,6
E05010044,3,8
E05010049,1,2
E05010054,1,2
E05010056,1,6
E05010058,2,6
E05010060,1,2
E05010075,1,2
E05010313,1,2
E05010318,1,5
E05010322,9,25
E05010325,3,8
E05010326,3,15
E05010327,3,6
E05010328,2,7
E05010330,1,2
E05010427,1,1
E05010626,1,5
E05010741,1,2
E05010747,1,1
E05010860,1,4
E05010862,2,8
E05010871,1,2
E05010882,2,5
E05010907,1,2
E05010909,2,4
E05010925,1,2
E05011099,1,6
E05011116,1,2
E05011157,1,1
E05011254,1,3
E05011308,2,7
E05011312,1,3
E05011313,1,2
E05011315,1,2
E05011319,1,2
E05011321,3,5
E05011323,2,6
E05011324,2,2
E05011325,1,6
E05011326,1,4
E05011329,1,1
E05011330,6,22
E05011333,1,1
E05011335,1,4
E05011336,1,1
E05011341,1,2
E05011343,1,2
E05011345,7,23
E05011346,1,4
E05011350,1,2
E05011354,1,2
E05011359,1,1
E05011363,1,2
E05011367,1,1
E05011369,1,2
E05011375,1,2
E05011379,1,1
E05011380,1,2
E05011384,10,23
E05011385,20,37
E05011387,12,30
E05011388,24,53
E05011389,28,66
E05011390,93,235
E05011391,14,37
E05011394,12,28
E05011395,14,50
E05011396,14,45
E05011397,43,105
E05011399,27,62
E05011400,8,20
E05011401,5,15
E05011402,38,99
E05011403,57,112
E05011404,11,31
E05011405,58,149
E05011406,25,51
E05011407,10,26
E05011409,6,13
E05011410,26,57
E05011411,65,162
E05011413,48,136
E05011414,10,24
E05011447,1,3
E05011454,1,2
E05011525,1,1
E05011539,2,2
E05011547,51,145
E05011549,26,58
E05011971,1,4
E05012129,1,2
E05012228,1,4
E05012243,1,4
E05012274,1,2
E05012365,1,2
E05012379,1,1
E05012389,1,3
E05012494,1,1
E05012615,1,2
E05012647,52,109
E05012648,21,50
E05012841,19,65
E05012842,43,99
E05013043,1,2
E05013206,1,7
E05013240,2,3
E05013696,1,4
E05013697,2,2
E05013718,1,2
E05013779,1,3
E05013812,1,2
E05013830,7,16
E05013831,16,37
E05013880,1,2
E05014025,1,2
E05014155,1,3
E05014156,1,2
S13002888,1,5
S13002931,1,1
S13002973,1,1
