count,ward_name,ward_code
22,Headingley and Hyde Park,E05011397
9,Hunslet and Riverside,E05011399
7,Little London and Woodhouse,E05011403
3,Killingbeck and Seacroft,E05011400
1,Gipton and Harehills,E05011394
1,Beeston and Holbeck,E05012647
