OBJECTID,WD21CD,WD21NM,WD21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,SHAPE_Length,SHAPE_Area
1,E05000026,Abbey, ,544433,184376,0.081276,51.53981,{AA6AAFBE-1338-4552-85DE-8F9E22194867},8106.04157139534,1253224.61458866
2,E05000027,Alibon, ,549247,185196,0.150987,51.545921,{30594F2F-187E-4808-A373-D2B211B00DDD},6353.91764044644,1364442.12156163
3,E05000028,Becontree, ,546860,185870,0.116869,51.552608,{ED9BBB57-7546-4835-957E-0AA71ECF2322},6356.3363126035,1292418.14321392
4,E05000029,Chadwell Heath, ,548266,189340,0.138596,51.58342,{511830CB-05C8-4A7A-8443-7740733B9589},9637.01612246787,3384422.95573407
5,E05000030,Eastbrook, ,550775,186271,0.173467,51.55518,{41515820-16C3-4028-8D09-BF79A311AE4B},9041.03204356682,3450817.69144589
6,E05000031,Eastbury, ,546074,183978,0.104756,51.535809,{2FDB6416-A32B-4ECC-96F6-391C5FC11154},6828.14352526362,1439218.47616089
7,E05000032,Gascoigne, ,544767,183577,0.085759997,51.532539,{50B1591C-287A-4EC0-9A9E-E16F21E85A04},7800.9141408121,1097083.96739705
8,E05000033,Goresbrook, ,548007,184060,0.132641,51.536041,{8AB6DA4C-5BAB-4EC9-BEF3-4D3D8A5D4177},5703.29651756231,1277822.95818932
9,E05000034,Heath, ,549340,186620,0.152931,51.558689,{AA5ED414-4F70-43CD-9E8D-1F3577B4D954},8069.46118215033,2002017.78131848
10,E05000035,Longbridge, ,545274,184913,0.093615003,51.544418,{56380D75-15E9-4716-9C9F-B7982F9CB7D3},6407.36994760547,1646452.11649989
11,E05000036,Mayesbrook, ,547124,185052,0.120332,51.545189,{3F28B40A-FB48-408F-AA78-F609E35EE153},7635.28521125096,1856443.67725703
12,E05000037,Parsloes, ,548150,185599,0.13534801,51.549831,{DAFC1E6A-B77B-40FA-A7B7-470012EDBF59},6796.70598930549,1243847.20543775
13,E05000038,River, ,549430,182817,0.15261599,51.524502,{E3DDBED7-A213-464B-8A9B-D5C8457BD3F6},9801.42573030021,3126243.72355399
14,E05000039,Thames, ,547155,182705,0.1198,51.52409,{F3BB850A-DBAD-44C8-A1FC-ADCD86FBF214},13320.2354331037,6674100.23655233
15,E05000040,Valence, ,548153,186867,0.13592499,51.56123,{E7AFA550-8405-4F87-8793-4991D3252DE6},5790.03398969221,1292632.04045101
16,E05000041,Village, ,550360,184190,0.16659699,51.536591,{20923241-B832-45FF-AB39-16E21FA6F085},7865.17498968762,2145391.82565172
17,E05000042,Whalebone, ,548545,187662,0.141911,51.568272,{F6AF1065-6D4B-40DC-BC92-F8966CDD6C4B},7036.4063670593,1554787.90297151
18,E05000043,Brunswick Park, ,528434,193714,-0.14587,51.62759,{CA8A51F7-CFD0-47C7-8EF8-80D4C029C648},8427.24973995338,3180182.04752609
19,E05000044,Burnt Oak, ,520523,190761,-0.26111999,51.602798,{44C1F02F-C5AF-4CD3-9FCE-1CEF5667C61D},6776.8553678451,2067019.61092643
20,E05000045,Childs Hill, ,524665,186693,-0.20277999,51.565338,{E8F1B3A3-8691-40F2-97AD-CC645617C51B},9310.73029707502,3092570.67046122
21,E05000046,Colindale, ,521441,189584,-0.24827,51.592018,{CB339E24-5AAA-43D7-9D4A-F321211D8408},8459.30674043799,2637512.25568411
22,E05000047,Coppetts, ,528054,191829,-0.15204,51.610741,{3B38C995-8FD0-419C-90F2-41A79E8207FE},7990.85085484715,2721141.17042598
23,E05000048,East Barnet, ,527474,195756,-0.15899,51.64616,{2B79F306-20D4-457A-8088-4186EE745168},9699.80909739375,3754276.57249059
24,E05000049,East Finchley, ,526811,190033,-0.17062999,51.594879,{B07B4E55-83FF-4600-A9FD-AFAA7E38B6C1},8190.17559069478,2509310.40508988
25,E05000050,Edgware, ,518863,193352,-0.28420001,51.626438,{0713089F-E0B4-4E3F-9FF9-49338C9ADA6F},12880.6466440754,5557949.88556363
26,E05000051,Finchley Church End, ,524690,190195,-0.20118,51.596809,{9A2F4A86-ECEF-4BFC-B584-8B68728C7B49},8223.78443869812,2725663.38138783
27,E05000052,Garden Suburb, ,526123,188444,-0.18113001,51.58075,{6B966DBB-6655-4F6D-8DE0-82AD4F044E83},10463.4027858473,4728235.31417718
28,E05000053,Golders Green, ,523818,187290,-0.21479,51.570889,{E27F1C4E-BF5D-4A82-82C9-E829E5464160},9432.79367045036,2978101.10753698
29,E05000054,Hale, ,520890,193803,-0.25477001,51.630058,{6505A657-DD6A-4691-9153-917092DC473F},15683.3913132935,5423188.05751381
30,E05000055,Hendon, ,523084,189557,-0.22458,51.591431,{0FC093D8-730D-4322-AD1D-49BA8326814A},7781.57802165579,2838690.68189934
31,E05000056,High Barnet, ,523890,196696,-0.21043,51.655411,{339801FE-AE5E-408B-A49F-26019C5302EA},19810.0028179865,8308415.23611144
32,E05000057,Mill Hill, ,523111,192066,-0.22330999,51.613972,{C79965CB-380B-4D25-957F-9173C15A6935},14778.0880216841,9389243.77597973
33,E05000058,Oakleigh, ,526687,194738,-0.17072,51.637192,{032B0D82-81D9-4F30-B8BF-B79746595AAB},11713.8508523417,3318596.66685063
34,E05000059,Totteridge, ,524649,193508,-0.20059,51.626591,{826C260A-7A23-4BBB-BD61-F9854A28EF2C},17435.5103770643,8774453.07411819
35,E05000060,Underhill, ,523991,195493,-0.20939,51.644569,{890BB6B4-188B-45C0-A281-04C2B2F56518},16319.7633833335,4550549.58961485
36,E05000061,West Finchley, ,525518,191440,-0.18878999,51.607811,{D927E252-3CB6-47E7-8391-94A0EC21384F},7848.15682661293,2163447.08763848
37,E05000062,West Hendon, ,522397,188065,-0.23501,51.578171,{EDC4222B-8C42-4A5B-A75E-1FC383598053},10264.7459543874,3427001.37548078
38,E05000063,Woodhouse, ,526776,191859,-0.17048,51.611301,{BB167FB0-B0EE-4DB8-84BF-DEEEA8149E52},8890.5219567909,2621155.26986481
39,E05000085,Alperton, ,518346,183853,-0.29486001,51.541168,{EA27D9E0-349E-43AD-89A8-70C6EF4769F6},8972.99567100946,2060963.29017793
40,E05000086,Barnhill, ,519301,187233,-0.27994999,51.57135,{18A00C51-DC7F-43F3-A1DA-BBDF8606B3A6},10081.2671286183,2979038.91753094
41,E05000087,Brondesbury Park, ,523503,184107,-0.22045,51.542351,{A23C12FB-B43F-42B9-B74C-483605BD3005},6875.14393078873,1728887.31879746
42,E05000088,Dollis Hill, ,522313,186513,-0.23676001,51.56424,{8D65E396-6148-4916-9E4E-9CB292E78FDC},7280.01267531694,2298098.73430106
43,E05000089,Dudden Hill, ,522083,185505,-0.24043,51.555229,{21604EAE-3E7A-4AF4-8FBB-95D3BDF38F13},9704.16133629283,1681853.79444475
44,E05000090,Fryent, ,520182,188421,-0.26684001,51.581841,{E104CE22-918F-4569-B40B-5D9825DE2E9E},9274.37598375397,2659873.24915822
45,E05000091,Harlesden, ,521490,183877,-0.24954,51.540722,{047561B8-1146-4DD1-A190-FFDA86C1639F},5222.3628553852,1115493.91895932
46,E05000092,Kensal Green, ,522352,183277,-0.23732001,51.535149,{41688D56-E4F7-409D-A94C-D1F7774DA434},5686.37432660665,1120564.12568343
