school_name,postcode,ward,ward_code
Thorner Church of England Primary School,,Cross Gates and Whinmoor,E05011391
Benton Park School,LS19 6LX,Guiseley and Rawdon,E05011395
"St Joseph's Catholic Primary School, Hunslet",,Hunslet and Riverside,E05011399
Victoria Primary Academy,,Burmantofts and Richmond Hill,E05011388
Summerfield PS,,Bramley and Stanningley,E05011387
Westgate Primary School,,Otley and Yeadon,E05011549
Ashfield Primary School,,Otley and Yeadon,E05011549
Bishop Young Church of England Academy,,Killingbeck and Seacroft,E05011400
"St. Mary's Menston, a Catholic Voluntary Academy",,Guiseley and Rawdon,E05011395
St Nicholas Catholic Primary School,,Gipton and Harehills,E05011394
Co-op Academy Woodlands,,Gipton and Harehills,E05011394
Allerton Bywater Primary School,,Kippax and Methley,E05011401
Westerton Primary Academy,,Horsforth,E05011547
St Marys Church of England Primary Academy,,Hunslet and Riverside,E05011399
Wykebeck Primary School,,Gipton and Harehills,E05011394
Holy Family Catholic Primary School,,Armley,E05011385
Leeds Jewish Free School,,Moortown,E05011405
Park Spring Primary School,,Pudsey,E05011409
Kippax North Primary School,,Kippax and Methley,E05011401
Drighlington Primary School,,Morley North,E05011406
St Chad's Church of England Primary School,,Weetwood,E05011413
Swillington Primary School,,Garforth and Swillington,E05013830
Notre Dame Catholic Sixth Form College,,Little London and Woodhouse,E05011403
Castleton Primary School,,Armley,E05011385
Weetwood Primary School,,Weetwood,E05011413
Penny Field School,,Moortown,E05011405
Rawdon Littlemoor Primary School,,Guiseley and Rawdon,E05011395
St Bartholomew's CofE Voluntary Controlled Primary School,,Armley,E05011385
"Christ The King Catholic Primary School, A Voluntary Academy",,Bramley and Stanningley,E05011387
Templenewsam Halton Primary School,,Temple Newsam,E05013831
Otley Prince Henry's Grammar School Specialist Language College,,Otley and Yeadon,E05011549
Tranmere Park Primary School,,Guiseley and Rawdon,E05011395
Sharp Lane Primary School,,Middleton Park,E05011404
Woodlesford Primary School,,Rothwell,E05011410
Ebor Gardens Primary Academy,,Burmantofts and Richmond Hill,E05011388
The Froebelian School,,Horsforth,E05011547
Harewood Church of England Voluntary Controlled Primary School,,Harewood,E05011396
Burley St Matthias Church of England Voluntary Controlled Primary School,,Kirkstall,E05011402
John Jamieson School,,Roundhay,E05011411
Grange Farm Primary School,,Killingbeck and Seacroft,E05011400
Ralph Thoresby School,LS16 7RX,Adel and Wharfedale,E05012841
East Garforth Primary Academy,,Garforth and Swillington,E05013830
Todmorden High School,OL14 7DG,,
Whitecote Primary School,,Cross Gates and Whinmoor,E05011391
West Oaks School,,Little London and Woodhouse,E05011403
Hunslet Carr Primary School,,Hunslet and Riverside,E05011399
Otley the Whartons Primary School,,Otley and Yeadon,E05011549
IQRA Academy Primary,BD8 8DA,,
Lane End Primary School,,Beeston and Holbeck,E05012647
Abbey Grange Church of England Academy,LS16 5EA,Kirkstall,E05011402
Fulneck School,,Pudsey,E05011409
Allerton Grange School,LS17 6SF,Moortown,E05011405
Temple Moor High School,LS15 0PT,Temple Newsam,E05013831
Summerfield Primary School,,Bramley and Stanningley,E05011387
Roundhay St John's Church of England Primary School,,Roundhay,E05011411
St Bartholomews,,Armley,E05011385
Farsley Farfield Primary School,,Calverley and Farsley,E05011389
Shire Oak VC Primary School,,Headingley and Hyde Park,E05011397
Carlton Primary School,,Ardsley and Robin Hood,E05011384
Swinnow Primary School,,Pudsey,E05011409
Queensway Primary School,,Guiseley and Rawdon,E05011395
Bardsey Primary School,,Harewood,E05011396
St Matthew's Church of England Aided Primary School,,Chapel Allerton,E05011390
Dixons Trinity Chapeltown,,Chapel Allerton,E05011390
Crossley Street Primary School,,Wetherby,E05011414
Seacroft Grange Primary School,,Killingbeck and Seacroft,E05011400
Co-op Academy Oakwood,,Roundhay,E05011411
Elements Primary School,,Middleton Park,E05011404
Pudsey Waterloo Primary,,Pudsey,E05011409
Victoria Junior School,,Rothwell,E05011410
Queenswood School,,Morley South,E05011407
Beeston Primary School,,Beeston and Holbeck,E05012647
Co-op Academy Beckfield,,Pudsey,E05011409
Primley Wood Primary School,,Alwoodley,E05012842
The New Bewerley Community Primary School,,Beeston and Holbeck,E05012647
Co-op Academy Priesthorpe,,Pudsey,E05011409
Rosebank Primary School,,Little London and Woodhouse,E05011403
Garforth Academy,,Garforth and Swillington,E05013830
Lower Wortley Primary School,,Farnley and Wortley,E05012648
Kerr Mackie Primary School,,Roundhay,E05011411
Spring Bank Primary School,,Headingley and Hyde Park,E05011397
Cardinal Heenan Catholic High School,LS6 4QE,Moortown,E05011405
Thorpe Primary School,,Ardsley and Robin Hood,E05011384
Churwell Primary School,,Morley North,E05011406
Shakespeare Primary School,,Burmantofts and Richmond Hill,E05011388
Asquith Primary School,,Morley North,E05011406
Trinity Academy Halifax,HX2 9TZ,,
The Grammar School At Leeds,,Alwoodley,E05012842
Valley View Community Primary School,,Bramley and Stanningley,E05011387
John Smeaton Academy,,Cross Gates and Whinmoor,E05011391
Southway,,Middleton Park,E05011404
Rothwell Primary School,,Rothwell,E05011410
"St Augustine's Catholic Primary School, A Voluntary Academy",,Gipton and Harehills,E05011394
"St Joseph's Catholic Primary School, Bradford",BD5 0JL,,
Lowtown Primary School,,Pudsey,E05011409
