ward_code,events,audience
E05011385,10,5897
E05011387,2,0
E05011388,7,48
E05011389,3,30
E05011390,4,444
E05011391,2,10
E05011394,6,60
E05011395,1,0
E05011396,4,29583
E05011397,19,802
E05011399,24,3685
E05011400,8,91
E05011402,2,14
E05011403,57,4052
E05011404,3,34
E05011405,2,1
E05011406,12,621
E05011407,2,10
E05011410,3,25
E05011411,1,0
E05011413,6,70
E05011414,4,45
E05011547,6,259
E05011549,2,0
E05012647,3,187
E05012648,4,27
E05012841,4,45
E05012842,4,0
E05013830,2,0
E05013831,4,86
UNKNOWN,78,11045
