Artist_ID,Benefited_Total,Benefited_0_4,Benefited_5_12,Benefited_13_18,Benefited_19_25,Benefited_Unknown,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
0,110,10,50,30,20,0,20,15,,30,25,20,50,50,80,60,60
1,15,2,7,2,4,0,4,4,,2,1,1,40,20,30,10,0
2,2,0,0,0,2,0,2,2,,1,1,1,12,12,10,12,6
3,22,5,4,7,0,6,0,1,,9,10,0,16,10,12,10,4
4,70,1,3,6,9,51,0,0,,5,5,5,5,5,330,3,70
5,34,0,4,8,22,0,5,6,,22,12,15,6,7,2,9,0
6,1,0,0,0,1,0,1,1,,1,1,1,12,12,5,12,5
7,37,0,30,3,4,0,280,150,,20,280,30,20,15,3,25,25
8,,,,,,,,,,,,,,,,,
9,60,0,0,0,0,60,30,60,,60,0,0,20,20,20,20,20
10,610,0,600,0,10,0,600,600,,600,600,606,50,650,700,50,0
11,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,
13,25,5,5,12,3,0,10,20,5,20,20,15,20,25,20,40,40
14,9,0,1,2,0,6,2,9,9,9,9,9,70,70,60,70,70
15,10,0,0,0,10,0,10,10,10,10,10,10,10,20,10,10,10
16,121,0,110,10,1,0,121,121,121,121,121,0,121,121,121,121,121
17,,,,,,,,,,,,,,,,,
18,13,7,0,1,5,0,13,13,13,13,13,13,1,2,7,0,13
19,9,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9
20,23,5,5,8,5,0,12,23,23,23,23,23,5,23,4,23,23
21,10,0,4,1,0,5,5,1,1,5,1,1,2,1,2,1,0
