month_ending,events,audience,cumulative_events,cumulative_audience
2023-08-31,9,608,9,608
2023-09-30,7,485,16,1093
2023-10-31,15,4067,31,5160
2023-11-30,14,1141,45,6301
2023-12-31,9,132,54,6433
