date_submitted,la_code,ward_code,artist_age_group,artwork_medium,source
2022-09-23,E06000010,E05011537,25-29,photo,media
2022-09-23,E06000011,E05001702,40-44,photo,media
2022-09-23,E06000014,E05010330,55-59,photo,leeds2023SocialMedia
2022-09-23,E06000049,E05008661,50-54,photo,leeds2023Website
2022-09-23,E07000128,E05009932,50-54,photo,media
2022-09-23,E07000163,E05010774,45-49,media,advertising
2022-09-23,E07000165,E05011333,55-59,photo,media
2022-09-23,E07000165,E05011346,55-59,photo,advertising
2022-09-23,E07000169,E05010047,50-54,photo,media
2022-09-23,E07000169,E05010059,25-29,media,leeds2023Event
2022-09-23,E07000242,E05004725,25-29,photo,advertising
2022-09-23,E08000003,E05011361,25-29,photo,recommendedByFriendOrFamily
2022-09-23,E08000003,E05011361,25-29,photo,throughCollegeOrUniversity
2022-09-23,E08000017,E05010741,40-44,photo,leeds2023SocialMedia
2022-09-23,E08000032,E05001366,50-54,photo,leeds2023SocialMedia
2022-09-23,E08000032,E05001366,50-54,photo,leeds2023SocialMedia
2022-09-23,E08000033,E05001371,40-44,media,media
2022-09-23,E08000034,E05001390,16-19,photo,advertising
2022-09-23,E08000034,E05001393,35-39,photo,leeds2023SocialMedia
2022-09-23,E08000034,E05001397,40-44,media,other
2022-09-23,E08000034,E05001407,55-59,photo,leeds2023Event
2022-09-23,E08000034,E05008559,30-34,photo,workplace
2022-09-23,E08000035,E05011384,55-59,photo,other
2022-09-23,E08000035,E05011385,20-24,photo,other
2022-09-23,E08000035,E05011385,40-44,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011387,35-39,photo,media
2022-09-23,E08000035,E05011387,50-54,photo,other
2022-09-23,E08000035,E05011388,25-29,media,leeds2023SocialMedia
2022-09-23,E08000035,E05011389,35-39,photo,other
2022-09-23,E08000035,E05011390,25-29,photo,media
2022-09-23,E08000035,E05011390,40-44,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011390,50-54,photo,other
2022-09-23,E08000035,E05011390,under16,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011390,under16,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011394,50-54,photo,other
2022-09-23,E08000035,E05011395,25-29,photo,leeds2023Website
2022-09-23,E08000035,E05011396,55-59,media,leeds2023SocialMedia
2022-09-23,E08000035,E05011397,20-24,media,leeds2023SocialMedia
2022-09-23,E08000035,E05011397,35-39,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011397,65-69,photo,leeds2023Website
2022-09-23,E08000035,E05011399,20-24,photo,recommendedByFriendOrFamily
2022-09-23,E08000035,E05011399,40-44,photo,media
2022-09-23,E08000035,E05011401,under16,photo,leeds2023Event
2022-09-23,E08000035,E05011402,20-24,photo,leeds2023Website
2022-09-23,E08000035,E05011402,25-29,photo,leeds2023Website
2022-09-23,E08000035,E05011402,45-49,photo,yorkshireEveningPostSupplement
2022-09-23,E08000035,E05011402,65-69,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011402,under16,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011403,16-19,photo,advertising
2022-09-23,E08000035,E05011403,16-19,photo,leeds2023Event
2022-09-23,E08000035,E05011403,20-24,photo,leeds2023Event
2022-09-23,E08000035,E05011403,20-24,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011403,25-29,photo,workplace
2022-09-23,E08000035,E05011403,50-54,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011403,50-54,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011403,50-54,photo,leeds2023Website
2022-09-23,E08000035,E05011403,60-64,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011405,35-39,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011405,45-49,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011405,55-59,photo,leeds2023Website
2022-09-23,E08000035,E05011405,60-64,photo,other
2022-09-23,E08000035,E05011407,35-39,media,leeds2023SocialMedia
2022-09-23,E08000035,E05011407,35-39,photo,leeds2023Website
2022-09-23,E08000035,E05011409,70-74,photo,media
2022-09-23,E08000035,E05011411,25-29,photo,leeds2023Event
2022-09-23,E08000035,E05011411,30-34,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011411,45-49,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011411,55-59,photo,leeds2023Event
2022-09-23,E08000035,E05011413,35-39,photo,other
2022-09-23,E08000035,E05011413,55-59,photo,media
2022-09-23,E08000035,E05011413,60-64,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05011413,unspecified,media,media
2022-09-23,E08000035,E05011414,55-59,media,leeds2023SocialMedia
2022-09-23,E08000035,E05011414,55-59,photo,media
2022-09-23,E08000035,E05011414,65-69,photo,leeds2023Event
2022-09-23,E08000035,E05011547,55-59,photo,leeds2023SocialMedia
2022-09-23,E08000035,E05012647,20-24,photo,workplace
2022-09-23,E08000035,E05012647,45-49,photo,other
2022-09-23,E08000035,E05012647,55-59,photo,media
2022-09-23,E08000035,E05012647,75-79,photo,workplace
2022-09-23,E08000035,E05012648,20-24,photo,throughCollegeOrUniversity
2022-09-23,E08000035,E05012648,20-24,photo,throughSchool
2022-09-23,E08000035,E05012648,25-29,media,leeds2023Event
2022-09-23,E08000035,E05012648,30-34,photo,leeds2023Event
