Local Authority,count_2018-19,count_2019-20,count_2020-21,count_2021-22,count_2022-23,sum_2018-19,sum_2019-20,sum_2020-21,sum_2021-22,sum_2022-23,count_total,sum_total
Adur,8.0,4.0,8.0,6.0,1.0,102671.0,85623.0,92545.0,109438.0,29993.0,27.0,420270.0
Allerdale,11.0,6.0,5.0,4.0,1.0,122921.0,81456.0,111541.0,52953.0,29988.0,27.0,398859.0
Amber Valley,6.0,5.0,5.0,3.0,3.0,97371.0,127286.0,74171.0,206532.0,124866.0,22.0,630226.0
Arun,,3.0,1.0,2.0,2.0,,38647.0,13685.0,54230.0,37250.0,8.0,143812.0
Ashfield,2.0,3.0,2.0,2.0,1.0,16509.0,116984.0,30491.0,27259.0,30398.0,10.0,221641.0
Ashford,12.0,6.0,1.0,9.0,1.0,219874.0,156449.0,15000.0,447373.0,6205.0,29.0,844901.0
Austria,,1.0,,,,,13328.0,,,,1.0,13328.0
Babergh,,2.0,2.0,2.0,,,28326.0,18102.0,22369.0,,6.0,68797.0
Barking and Dagenham,11.0,5.0,7.0,8.0,1.0,150741.0,53887.0,149280.0,144187.0,13976.0,32.0,512071.0
Barnet,25.0,29.0,19.0,19.0,6.0,301769.0,472459.0,256055.0,292794.0,136593.0,98.0,1459670.0
Barnsley,8.0,9.0,3.0,14.0,3.0,596677.0,173674.0,79867.0,598386.0,79369.0,37.0,1527973.0
Barrow-in-Furness,,5.0,4.0,7.0,2.0,,197136.0,57150.0,156680.0,125600.0,18.0,536566.0
Basildon,1.0,2.0,2.0,1.0,,8750.0,24532.0,22571.0,250000.0,,6.0,305853.0
Basingstoke and Deane,6.0,7.0,2.0,5.0,2.0,91705.0,103060.0,29717.0,178111.0,57451.0,22.0,460044.0
Bassetlaw,1.0,3.0,2.0,2.0,,10000.0,121050.0,21938.0,253976.0,,8.0,406964.0
Bath and North East Somerset,21.0,21.0,9.0,18.0,8.0,482782.0,464337.0,151324.0,423418.0,343791.0,77.0,1865652.0
Bedford,11.0,15.0,7.0,7.0,3.0,111589.0,233088.0,79961.0,153179.0,73787.0,43.0,651604.0
Belfast,,,,1.0,1.0,,,,4926.0,33106.0,2.0,38032.0
Bexley,2.0,6.0,3.0,7.0,4.0,18640.0,57826.0,41613.0,191318.0,134026.0,22.0,443423.0
Birmingham,110.0,111.0,74.0,101.0,42.0,2346670.0,2858517.0,1630871.0,3620410.0,1534503.0,438.0,11990971.0
Blaby,1.0,2.0,2.0,1.0,3.0,6000.0,39000.0,23804.0,14785.0,49941.0,9.0,133530.0
Blackburn with Darwen,8.0,9.0,5.0,10.0,1.0,171810.0,144933.0,64996.0,524582.0,47710.0,33.0,954031.0
Blackpool,4.0,4.0,2.0,4.0,2.0,47005.0,59495.0,21250.0,155076.0,152600.0,16.0,435426.0
Bolsover,4.0,2.0,2.0,4.0,1.0,82725.0,33398.0,29982.0,74160.0,30994.0,13.0,251259.0
Bolton,5.0,7.0,3.0,5.0,4.0,47534.0,95847.0,36656.0,140152.0,87989.0,24.0,408178.0
Boston,,1.0,1.0,1.0,2.0,,15000.0,3500.0,14776.0,48924.0,5.0,82200.0
"Bournemouth, Christchurch and Poole",14.0,15.0,6.0,7.0,5.0,260218.0,254506.0,70166.0,136523.0,92526.0,47.0,813939.0
Bracknell Forest,1.0,,1.0,,,14700.0,,15000.0,,,2.0,29700.0
Bradford,26.0,27.0,16.0,21.0,7.0,655156.0,1857838.0,448094.0,650112.0,213926.0,97.0,3825126.0
Braintree,4.0,5.0,3.0,8.0,3.0,48639.0,33600.0,26860.0,70267.0,18700.0,23.0,198066.0
Breckland,2.0,5.0,2.0,3.0,1.0,29972.0,89579.0,17070.0,45420.0,17895.0,13.0,199936.0
Brent,25.0,19.0,17.0,22.0,8.0,413828.0,466399.0,214776.0,1223332.0,128460.0,91.0,2446795.0
Brentwood,4.0,5.0,,4.0,,47666.0,66238.0,,122019.0,,13.0,235923.0
Brighton and Hove,113.0,126.0,85.0,110.0,34.0,2092508.0,2689669.0,1518333.0,2669149.0,997209.0,468.0,9966868.0
"Bristol, City of",130.0,138.0,84.0,119.0,28.0,2914638.0,2910169.0,1569670.0,3116641.0,1070802.0,499.0,11581920.0
Broadland,5.0,3.0,4.0,3.0,,49600.0,36546.0,54855.0,42210.0,,15.0,183211.0
Bromley,24.0,24.0,11.0,21.0,7.0,379037.0,379567.0,136911.0,350621.0,106389.0,87.0,1352525.0
Bromsgrove,2.0,3.0,,1.0,1.0,16870.0,34992.0,,11360.0,29950.0,7.0,93172.0
Broxbourne,1.0,1.0,,2.0,,25363.0,7000.0,,29900.0,,4.0,62263.0
