event_date,orders,tickets
2023-03-31,48,90
2023-04-30,375,536
2023-05-31,2036,3707
2023-06-30,2213,3978
2023-07-31,3171,7537
2023-08-31,3274,7729
2023-09-30,4488,9978
2023-10-31,4938,10820
2023-11-30,5378,11497
2023-12-31,7280,15738
2024-01-31,7301,15778
