ward_code,orders,tickets
E05000666,1,1
E05000732,1,3
E05000783,1,1
E05000787,1,1
E05000797,1,2
E05000798,1,7
E05000814,1,2
E05000825,2,2
E05000832,4,11
E05000836,1,4
E05000890,1,1
E05000908,1,1
E05000936,1,1
E05000976,1,1
E05000980,1,6
E05000986,1,2
E05000988,5,9
E05000990,1,2
E05000993,1,1
E05001139,2,3
E05001234,1,2
E05001294,1,2
E05001333,1,1
E05001335,1,3
E05001341,7,9
E05001342,5,7
E05001343,5,10
E05001344,5,13
E05001345,3,9
E05001346,3,12
E05001347,8,11
E05001348,2,4
E05001349,5,10
E05001350,3,10
E05001351,1,2
E05001352,4,7
E05001353,9,21
E05001354,17,34
E05001356,7,10
E05001358,1,1
E05001359,4,4
E05001360,1,4
E05001361,1,1
E05001362,29,52
E05001364,6,21
E05001365,2,4
E05001366,8,19
E05001368,3,8
E05001370,1,6
E05001371,3,12
E05001372,13,23
E05001373,1,2
E05001374,3,15
E05001375,2,4
E05001376,5,6
E05001377,3,6
E05001379,2,4
E05001380,3,8
E05001381,1,2
E05001382,4,6
E05001383,6,23
E05001385,8,15
E05001386,3,3
E05001389,2,6
E05001390,2,11
E05001391,1,5
E05001392,3,11
E05001393,3,6
E05001396,1,1
E05001397,4,7
E05001398,1,2
E05001399,5,8
E05001400,3,7
E05001401,1,2
E05001402,4,11
E05001403,3,11
E05001405,6,11
E05001407,4,6
E05001408,2,3
E05001409,3,7
E05001410,2,2
E05001444,7,14
E05001445,2,5
E05001446,8,14
E05001447,3,7
E05001448,1,2
E05001449,3,10
E05001451,12,20
E05001452,2,4
E05001453,4,7
E05001454,7,12
E05001455,2,3
E05001456,5,9
E05001457,2,3
E05001458,7,17
E05001459,1,1
E05001460,2,3
E05001461,6,7
E05001462,9,23
E05001463,8,14
E05001464,9,24
E05001698,1,1
E05001699,1,2
E05001700,1,1
E05001702,1,2
E05001704,1,2
E05001708,1,2
E05001712,1,1
E05001734,1,1
E05001739,1,4
E05001742,3,3
E05001743,1,2
E05002213,1,1
E05002425,1,1
E05003347,1,1
E05003355,1,2
E05003365,3,3
E05004147,1,2
E05004292,2,3
E05004714,1,3
E05004780,3,7
E05005216,1,2
E05005220,3,3
E05005492,1,2
E05006203,1,1
E05006315,1,1
E05006316,1,2
E05006385,1,1
E05007294,1,1
E05007399,1,1
E05007685,1,3
E05008522,1,1
E05008558,2,3
E05008559,8,11
E05008560,1,3
E05008561,4,7
E05008643,1,1
E05008652,1,1
E05008774,1,1
E05008785,1,1
E05008818,3,4
E05008821,1,1
E05009035,1,2
E05009055,1,2
E05009106,1,1
E05009113,1,2
E05009142,1,2
E05009320,1,2
E05009331,5,5
E05009369,1,1
E05009377,1,1
E05009380,1,1
E05009381,1,1
E05009448,2,2
E05009501,1,1
E05009596,1,2
E05009637,1,2
E05009664,1,5
E05009665,1,3
E05009668,1,1
E05009670,2,5
E05009671,2,4
E05009673,1,3
E05009674,3,5
E05009675,1,4
E05009688,2,2
E05009708,1,1
E05009711,1,2
E05009854,2,3
E05009857,1,2
E05010044,4,8
E05010046,3,11
E05010052,1,2
E05010053,2,9
E05010054,1,4
E05010056,3,4
E05010057,3,9
E05010058,10,29
E05010060,5,11
E05010073,1,2
E05010165,1,1
E05010312,1,3
E05010316,3,4
E05010318,7,11
E05010319,1,2
E05010320,1,4
E05010322,1,1
E05010323,2,8
E05010325,3,6
E05010326,5,7
E05010330,3,5
E05010491,1,2
E05010496,1,1
E05010517,1,1
E05010563,1,2
E05010626,1,2
E05010637,1,2
E05010642,1,2
E05010648,1,2
E05010732,1,3
E05010736,1,3
E05010737,1,3
E05010739,2,2
E05010741,1,1
E05010744,1,1
E05010745,1,2
E05010747,5,35
E05010748,1,2
E05010786,2,2
E05010860,2,4
E05010861,2,2
E05010863,4,5
E05010864,2,2
E05010865,1,1
E05010866,1,2
E05010867,1,1
E05010869,4,8
E05010871,2,3
E05010873,1,4
E05010875,4,4
E05010880,3,5
E05010881,1,1
E05010882,5,10
E05010884,1,1
E05010905,1,1
E05010909,1,2
E05010914,1,1
E05010935,1,1
E05011012,1,3
E05011062,1,2
E05011078,2,6
E05011151,1,1
E05011168,3,3
E05011212,1,1
E05011308,4,7
E05011310,1,2
E05011311,1,5
E05011312,2,3
E05011314,2,4
E05011315,1,2
E05011319,2,3
E05011323,1,4
E05011326,5,7
E05011327,2,2
E05011328,2,6
E05011329,11,25
E05011333,1,1
E05011336,1,1
E05011342,1,3
E05011343,3,5
E05011350,2,2
E05011353,4,8
E05011356,1,1
E05011357,1,1
E05011358,5,8
E05011361,10,12
E05011363,2,4
E05011365,1,1
E05011367,1,1
E05011368,2,2
E05011375,2,2
E05011376,1,1
E05011377,1,5
E05011379,2,7
E05011380,2,2
E05011384,51,120
E05011385,64,147
E05011387,64,136
E05011388,101,250
E05011389,59,110
E05011390,299,660
E05011391,56,186
E05011394,71,201
E05011395,43,81
E05011396,34,77
E05011397,303,569
E05011399,181,302
E05011400,102,303
E05011401,77,188
E05011402,186,352
E05011403,231,353
E05011404,39,102
E05011405,228,519
E05011406,37,99
E05011407,39,108
E05011409,47,101
E05011410,52,120
E05011411,273,802
E05011413,183,410
E05011414,8,22
E05011424,5,9
E05011457,1,3
E05011467,1,2
E05011500,1,1
E05011501,1,1
E05011504,2,6
E05011526,3,6
E05011539,1,1
E05011547,116,246
E05011549,72,159
E05011741,1,1
E05011841,1,1
E05012001,1,1
E05012006,1,1
E05012047,1,2
E05012128,2,5
E05012199,1,1
E05012214,1,2
E05012216,1,1
E05012240,1,1
E05012274,2,3
E05012363,1,2
E05012461,1,1
E05012647,90,245
E05012648,41,88
E05012841,63,186
E05012842,116,353
E05012947,1,2
E05012973,1,1
E05012996,2,4
E05013005,1,4
E05013011,2,6
E05013012,1,2
E05013015,1,1
E05013017,1,1
E05013023,1,1
E05013031,1,1
E05013038,1,2
E05013050,1,1
E05013120,1,2
E05013206,1,2
E05013220,1,1
E05013268,1,2
E05013398,1,2
E05013458,1,1
E05013507,1,3
E05013551,1,1
E05013573,1,1
E05013589,1,1
E05013598,1,1
E05013605,1,1
E05013614,1,3
E05013644,1,1
E05013669,1,1
E05013670,1,2
E05013700,2,2
E05013703,1,4
E05013704,1,1
E05013708,1,1
E05013710,2,3
E05013713,46,82
E05013726,1,2
E05013730,1,1
E05013752,1,1
E05013789,1,1
E05013812,2,2
E05013828,1,2
E05013830,102,218
E05013831,95,265
E05013866,2,4
E05013884,1,1
E05013943,1,2
E05013949,1,1
E05013954,5,9
E05014073,2,2
E05014086,1,5
E05014105,1,1
E05014111,1,1
E05014112,1,1
E05014113,1,2
E05014127,4,4
E05014156,1,3
N08000514,1,1
S13002766,3,7
S13002883,1,2
S13002900,1,1
S13002923,1,2
S13002940,1,1
S13003071,3,3
W05001144,1,2
W05001274,1,1
W05001775,1,1
